Rk,Player,Nation,Pos,Squad,Age,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,,
134,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,28-124,1998,1.3,3,0,1,1,1,0,1,0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
135,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,33-165,1992,21.1,34,22,25,8,1,9,21,42.9,12,173,54,31.2,106,63,4,41,22,1,19,26,60,114,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
136,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,28-225,1987,1.8,2,2,1,1,0,2,4,50,2,13,4,30.8,6,7,0,2,0,0,2,5,7,6,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
137,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,33-049,1992,10.3,9,5,5,4,0,4,9,44.4,5,116,36,31,43,55,18,14,4,0,10,12,21,10,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
138,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,22-237,1988,19.7,17,9,13,3,1,8,17,47.1,9,133,54,40.6,86,45,2,19,5,0,14,29,46,104,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
139,Lukasz Fabianski\Lukasz-Fabianski,pl POL,GK,West Ham,35-309,1998,17.7,23,12,11,9,3,8,23,34.8,15,180,58,32.2,50,86,44,28,2,0,26,11,34,2,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
140,Fabinho\Fabinho,br BRA,DFMF,Liverpool,27-121,1985,23,0,0,0,0,0,0,0,,0,5,1,20,5,0,0,3,0,0,3,0,0,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
141,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,26-166,1993,17.4,41,29,15,24,2,16,32,50,16,158,58,36.7,66,83,9,25,9,0,16,24,65,65,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
142,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,32-000,1994,22.4,45,31,17,19,9,13,54,24.1,41,424,102,24.1,68,197,159,33,1,0,32,9,54,19,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
143,Fernandinho\Fernandinho,br BRA,MF,Manchester City,35-293,1989,15.3,28,14,20,6,2,11,19,57.9,8,130,39,30,87,37,6,37,23,0,14,6,34,103,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
144,Sam Field\Sam-Field,eng ENG,MF,West Brom,22-289,1985,5.8,13,9,2,9,2,4,14,28.6,10,75,21,28,11,51,13,3,0,0,3,8,21,9,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
145,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,29-142,1998,0.7,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
146,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,29-181,1991,21.8,25,18,3,9,13,8,25,32,17,325,93,28.6,45,144,136,38,2,0,36,8,33,6,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
147,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20-269,1991,15.7,24,15,10,12,2,5,24,20.8,19,218,57,26.1,76,109,33,21,3,0,18,19,43,9,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
148,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,20-066,2000,13.4,20,12,7,9,4,7,15,46.7,8,203,58,28.6,38,76,89,10,1,0,9,11,31,8,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
149,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,24-365,2000,15.5,34,23,23,10,1,7,20,35,13,146,47,32.2,86,54,6,32,14,0,18,28,62,72,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
150,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,32-341,1996,17.1,19,10,7,10,2,5,48,10.4,43,317,62,19.6,105,151,61,34,1,0,33,12,31,4,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
151,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,23-050,1988,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
152,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Newcastle Utd,26-363,1998,0.9,3,1,2,1,0,1,1,100,0,7,2,28.6,3,4,0,1,0,0,1,1,4,1,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
153,Fred\Fred,br BRA,MF,Manchester Utd,27-353,1994,6.6,2,1,2,0,0,0,1,0,1,66,11,16.7,16,30,20,6,0,0,6,1,3,3,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
154,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,28-134,1993,15.6,49,30,21,23,5,17,49,34.7,32,361,107,29.6,128,165,68,37,4,0,33,28,77,18,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
155,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,34-320,1992,4.9,11,5,6,5,0,5,10,50,5,58,11,19,34,12,12,13,1,0,12,4,15,16,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
156,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,25-113,1986,7.8,15,9,13,1,1,5,14,35.7,9,87,23,26.4,53,27,7,16,4,1,12,12,27,31,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
157,Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,21-015,1995,19.6,16,8,10,4,2,7,22,31.8,15,140,38,27.1,71,45,24,46,13,1,33,17,33,64,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
158,Eric García\Eric-Garcia,es ESP,DF,Manchester City,20-043,2000,18.1,52,39,20,24,8,12,58,20.7,46,418,118,28.2,147,207,64,41,5,0,36,21,73,21,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,30-127,2001,2.2,6,2,4,1,1,2,5,40,3,15,5,33.3,10,5,0,2,0,0,2,3,9,7,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
160,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,30-106,1990,1.8,0,0,0,0,0,0,3,0,3,24,3,12.5,2,11,11,2,2,0,0,1,1,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
161,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FW,Aston Villa,25-294,1990,21.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
162,Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,31-148,1995,6.3,7,5,4,1,2,3,9,33.3,6,56,16,28.6,19,23,14,6,0,0,6,1,8,3,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
163,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,FWMF,Wolves,21-025,1989,9,14,6,9,3,2,3,7,42.9,4,80,20,25,42,30,8,18,6,0,12,13,27,31,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
164,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,19-255,2000,1.1,1,1,0,0,1,1,3,33.3,2,21,6,28.6,2,10,9,1,0,0,1,2,3,1,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
165,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,34-144,2001,0.4,3,1,1,2,0,1,1,100,0,10,7,70,5,3,2,2,1,0,1,1,4,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
166,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Everton,23-037,1986,7.1,6,3,0,3,3,0,3,0,3,104,28,26.9,10,40,54,2,1,0,1,3,9,8,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
167,André Gomes\Andre-Gomes,pt POR,MF,Everton,27-206,1998,16.7,30,14,20,8,2,13,19,68.4,6,185,56,30.3,120,53,12,44,17,1,27,26,56,57,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
168,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,23-274,1993,11.4,34,24,19,12,3,13,30,43.3,17,198,65,32.8,74,93,31,18,1,0,17,9,43,6,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
169,Anthony Gordon\Anthony-Gordon,eng ENG,FWMF,Everton,19-363,1997,6.6,5,2,2,3,0,0,4,0,4,39,15,38.5,24,13,2,7,3,0,4,5,10,32,2,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
170,Karlan Grant\Karlan-Grant,eng ENG,FWMF,West Brom,23-156,2001,1,3,2,3,0,0,0,2,0,2,18,3,16.7,5,9,4,2,0,0,2,1,4,1,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
171,Demarai Gray\Demarai-Gray,eng ENG,FW,Leicester City,24-238,1997,12,6,3,3,3,0,3,6,50,3,153,39,25.5,23,58,72,7,0,0,7,9,15,13,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
172,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,25-164,1996,0.2,2,2,2,0,0,0,0,,0,5,2,40,1,1,3,0,0,0,0,0,2,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
173,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,19-143,1995,22,23,15,5,13,5,3,17,17.6,14,281,91,32.4,72,104,105,25,2,0,23,11,34,4,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
174,Pascal Groß\Pascal-Gross,de GER,MF,Brighton,29-251,2001,11.1,15,10,8,2,5,2,14,14.3,12,140,44,31.4,28,65,47,3,0,0,3,7,22,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
175,Kamil Grosicki\Kamil-Grosicki,pl POL,FWMF,West Brom,32-258,1991,14,22,17,12,10,0,8,20,40,12,193,54,28,61,96,36,18,3,0,15,12,34,10,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
176,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,34-042,1988,1.6,1,0,1,0,0,1,6,16.7,5,22,3,13.6,11,8,3,1,0,0,1,0,1,2,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
177,Ilkay Gündogan\Ilkay-Gundogan,de GER,MF,Manchester City,30-120,1987,24,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,1,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
178,Antwoine Hackford\Antwoine-Hackford,eng ENG,DFFW,Sheffield Utd,16-338,1990,15.3,15,11,8,6,1,6,25,24,19,143,42,29.4,34,72,37,12,3,0,9,11,26,8,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
179,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,26-244,2004,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,0,0,3,1,0,0,1,0,0,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
180,Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,20-350,1994,10.4,11,4,1,5,5,4,18,22.2,14,199,42,21.1,12,115,72,4,1,0,3,5,16,7,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
181,Jack Harrison\Jack-Harrison,eng ENG,MF,Leeds United,24-093,2000,0.4,2,1,1,1,0,1,1,100,0,10,0,0,2,7,1,0,0,0,0,0,2,0,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
182,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,25-220,1996,20.9,41,23,20,10,11,9,25,36,16,387,126,32.6,106,130,151,25,1,0,24,15,56,17,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
183,Kai Havertz\Kai-Havertz,de GER,MFFW,Chelsea,21-255,1995,4,4,4,2,2,0,0,0,,0,16,6,37.5,9,6,1,4,2,0,2,3,7,34,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
184,Isaac Hayden\Isaac-Hayden,eng ENG,MFDF,Newcastle Utd,25-336,1999,10.9,16,9,5,10,1,3,20,15,17,168,37,22,33,85,50,18,2,0,16,7,23,12,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
185,Michael Hector\Michael-Hector,jm JAM,DF,Fulham,28-217,1995,17.1,36,24,9,22,5,7,19,36.8,12,280,69,24.6,114,133,33,37,8,0,29,32,68,51,1,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
186,Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,30-027,1992,2.9,7,5,4,3,0,3,7,42.9,4,28,11,39.3,21,7,0,6,3,1,3,0,7,11,0,Matches,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/defense/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_defense"">View Original Table</a><br>Generated 2/20/2021."
