Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.09,0.001,0.03,0.009518726,0.010659006,5,2.5,1.791666667,1.645833333,1.4875,1.458333333,1.291666667,1.165178571,1.090277778,1.022222222,0.959090909,0.973484848,0.991987179,0.980769231,0.986904762,0.976041667,0.962316176,0.948529412,0.927631579,0.903947368,0.879761905,0.172752486
0.09,0.003,0.03,0.000894427,0.016116274,12,7.75,5.708333333,4.916666667,4.5625,4.25,4.154761905,4.008928571,3.760416667,3.558333333,3.295454545,3.064393939,2.873397436,2.696428571,2.533333333,2.3875,2.251838235,2.136437908,2.039473684,1.946052632,1.864880952,0.146772596
0.09,0.005,0.03,0.00917878,0.009974593,15,10.625,9.708333333,8.875,7.7875,6.758333333,5.857142857,5.129464286,4.5625,4.122222222,3.756818182,3.446969697,3.190705128,2.971153846,2.789285714,2.625,2.486213235,2.388888889,2.284356725,2.186842105,2.099404762,0.138056543
0.1,0.001,0.03,0.002338421,0.014440205,5,1.375,1.416666667,1.270833333,1.2,1.075,0.994047619,0.950892857,0.934027778,0.913888889,0.890909091,0.869318182,0.900641026,0.898351648,0.88452381,0.863541667,0.852022059,0.847222222,0.830409357,0.813815789,0.792261905,0.203472263
0.1,0.003,0.03,0.00400255,0.00404,11,8,7.5,6.395833333,5.825,5.316666667,4.892857143,4.495535714,4.145833333,3.794444444,3.509090909,3.274621212,3.072115385,2.884615385,2.714285714,2.55625,2.409926471,2.291666667,2.184210526,2.076973684,1.980952381,0.121788009
0.1,0.005,0.03,0.008381404,0.014720813,15,11.5,9.25,8.833333333,7.775,6.875,6.142857143,5.571428571,5.048611111,4.613888889,4.209090909,3.90530303,3.639423077,3.418956044,3.192857143,2.99375,2.831801471,2.679738562,2.554824561,2.425,2.332738095,0.130669303
0.11,0.001,0.03,0.011990518,0.104446233,4,0.5,0.333333333,0.270833333,0.2,0.175,0.160714286,0.15625,0.163194444,0.161111111,0.159090909,0.151515152,0.145833333,0.137362637,0.14047619,0.141666667,0.138786765,0.138888889,0.137426901,0.138815789,0.135714286,0.5204258
0.11,0.003,0.03,0.006793763,0.033621619,8,4.25,3.208333333,2.854166667,2.8375,2.791666667,2.708333333,2.580357143,2.475694444,2.388888889,2.359090909,2.346590909,2.282051282,2.259615385,2.214285714,2.176041667,2.129595588,2.093137255,2.033625731,1.981578947,1.913095238,0.138208287
0.11,0.005,0.03,0.004876958,0.014750451,12,5.75,5.875,5.604166667,5.575,5.566666667,5.19047619,4.8125,4.53125,4.222222222,3.940909091,3.643939394,3.386217949,3.159340659,2.964285714,2.798958333,2.659926471,2.532679739,2.42251462,2.332894737,2.25,0.131551615
0.09,0.001,0.03,0.00459635,0.009303049,5,1.5,1.833333333,1.9375,1.7375,1.616666667,1.601190476,1.504464286,1.427083333,1.388888889,1.343181818,1.303030303,1.251602564,1.229395604,1.201190476,1.173958333,1.138786765,1.089869281,1.050438596,1.009868421,0.979761905,0.154713927
0.09,0.003,0.03,0.000880368,0.010908452,11,7.25,6.166666667,5.791666667,5.175,4.775,4.452380952,4.133928571,3.809027778,3.530555556,3.259090909,3.028409091,2.830128205,2.652472527,2.498809524,2.357291667,2.224264706,2.116013072,2.015350877,1.922368421,1.8375,0.132808658
0.09,0.005,0.03,0.008333333,0.015673172,16,10.75,9.083333333,8.0625,7.325,6.566666667,5.696428571,5.066964286,4.555555556,4.116666667,3.740909091,3.4375,3.182692308,2.971153846,2.782142857,2.6125,2.487132353,2.364379085,2.259502924,2.155921053,2.083333333,0.14911424
0.1,0.001,0.03,0.0060737,0.004132258,5,1.25,1.166666667,1.083333333,1.1375,1.175,1.154761905,1.111607143,1.114583333,1.066666667,1.036363636,1.007575758,1.017628205,1.008241758,0.995238095,0.988541667,0.965073529,0.941176471,0.917397661,0.895394737,0.864285714,0.193072286
0.1,0.003,0.03,0.004031129,0.004256132,13,7.25,6.625,6.1875,5.775,5.241666667,4.976190476,4.651785714,4.225694444,3.894444444,3.579545455,3.318181818,3.091346154,2.89010989,2.71547619,2.55,2.420955882,2.300653595,2.192982456,2.092105263,1.99702381,0.14289536
0.1,0.005,0.03,0.005335937,0.011215021,17,14,11,9.9375,8.5875,7.441666667,6.488095238,5.696428571,5.065972222,4.583333333,4.2,3.865530303,3.575320513,3.32967033,3.121428571,2.944791667,2.782169118,2.647875817,2.528508772,2.426973684,2.335119048,0.137587335
0.11,0.001,0.03,0.00766219,0.036066639,5,0.5,0.833333333,0.708333333,0.6375,0.608333333,0.547619048,0.522321429,0.520833333,0.508333333,0.475,0.471590909,0.467948718,0.45467033,0.435714286,0.427083333,0.404411765,0.403594771,0.389619883,0.390789474,0.388690476,0.331219686
0.11,0.003,0.03,0.00434483,0.025952445,9,5.25,4.25,4.0625,3.85,3.533333333,3.113095238,2.852678571,2.666666667,2.569444444,2.470454545,2.416666667,2.355769231,2.304945055,2.253571429,2.240625,2.203125,2.141339869,2.087719298,2.020394737,1.946428571,0.137218638
0.11,0.005,0.03,0.020615528,0.021323855,14,8.125,6.791666667,6.020833333,5.6,5.25,4.958333333,4.808035714,4.538194444,4.136111111,3.822727273,3.549242424,3.334935897,3.125,2.945238095,2.810416667,2.676470588,2.552287582,2.429093567,2.315789474,2.2375,0.145792517
0.09,0.001,0.03,0.003522435,0.007985934,5,2.625,1.833333333,1.791666667,1.7625,1.591666667,1.523809524,1.513392857,1.444444444,1.4,1.375,1.327651515,1.27724359,1.236263736,1.204761905,1.175,1.123161765,1.095588235,1.062865497,1.024342105,0.989880952,0.149801186
0.09,0.003,0.03,0.002128673,0.001356797,14,10.375,8.916666667,8.104166667,7.1875,6.25,5.482142857,4.830357143,4.309027778,3.875,3.515909091,3.214015152,2.967948718,2.760989011,2.573809524,2.420833333,2.284926471,2.162581699,2.042397661,1.941447368,1.857142857,0.138515307
