Radius,Resolution,Distance 1,Distance 2,Highest vote
18,5,0.035355339,0.042491829,22
18,6,0.041231056,0.052626601,30
18,7,0.056568542,0.054800041,34
18,8,0.056568542,0.068711602,38
18,9,0.014142136,0.024934735,34
18,10,0.070710678,0.084972266,28
18,11,0.065996633,0.034913459,30
18,12,0.056568542,0.068753167,43
18,13,0.005656854,0.073139385,21
18,14,0.056568542,0.066232705,31
18,15,0.141421356,0.128644456,35
18,16,0.113137085,0.190654586,28
18,17,0.056568542,0.080089234,40
18,18,0.141421356,0.134866203,44
18,19,0.084852814,,12
18,20,0.141421356,,16
19,5,0.035355339,0.011081183,33
19,6,0.068007353,0.054180055,24
19,7,0.036769553,0.044199243,24
19,8,0.056568542,0.016349849,34
19,9,0.014142136,0.022059025,27
19,10,0.070710678,0.086344934,27
19,11,0.065996633,0.035022786,30
19,12,0.056568542,0.068930671,41
19,13,0.042426407,0.060196028,39
19,14,0.155563492,0.1619315,26
19,15,0.141421356,0.13043341,33
19,16,0.113137085,0.144622369,26
19,17,0.056568542,0.079665305,40
19,18,0.141421356,0.138640261,39
19,19,0.084852814,0.105135531,43
19,20,0.141421356,,16
20,5,0.035355339,0.009342794,32
20,6,0.056568542,0.053210079,38
20,7,0.036055513,0.041276879,23
20,8,0.056568542,0.072077954,29
20,9,0.071056172,0.070855016,23
20,10,0.070710678,0.092147832,34
20,11,0.091923882,0.105081109,28
20,12,0.056568542,0.070108885,31
20,13,0.042426407,0.061168169,37
20,14,0.056568542,0.070260405,45
20,15,0.070710678,0.133904709,28
20,16,0.113137085,0.017136489,21
20,17,0.056568542,0.077757809,38
20,18,0.141421356,0.136940337,38
20,19,0.084852814,0.102962553,41
20,20,0.141421356,0.196300178,48
