Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.01,0.003,0.003778389,0.094161165,4,2,1.647058824,1.5,1.510204082,1.449275362,1.4125,1.386363636,1.404040404,1.401785714
0.01,0.005,0.003609337,0.084203993,4,2,2,1.78125,1.634146341,1.595744681,1.6,1.640625,1.662162162,1.662790698
0.011,0.0005,0.000369636,0.080573103,3,1.166666667,1.076923077,1.043478261,1.034482759,1.027777778,1.021276596,1.034482759,1.028985507,1.024390244
0.011,0.001,0.000822362,0.094894195,3,1.375,1.25,1.148148148,1.114285714,1.095238095,1.08,1.06557377,1.055555556,1.060240964
0.011,0.003,0.003309256,0.0832804,3,1.5,1.3125,1.379310345,1.295454545,1.353846154,1.341772152,1.352272727,1.336538462,1.32173913
0.011,0.005,0.005599076,0.082118363,3,2,2.1875,1.785714286,1.722222222,1.711111111,1.642857143,1.625,1.61971831,1.625
0.099,0.0005,0.008856851,0.010622242,5,1.5,1.5,1.777777778,1.666666667,1.529411765,1.350877193,1.333333333,1.311111111,1.305555556
0.099,0.001,0.008001774,0.012640901,6,1.571428571,1.7,1.8,1.725806452,1.727272727,1.82300885,1.793333333,1.77173913,1.728506787
0.099,0.003,0.003537296,0.010642476,13,9.75,8.75,7.6875,6.9375,6.386554622,5.898203593,5.310810811,4.744755245,4.31741573
0.099,0.005,0.001,0.004420438,21,14.625,12.875,10.72916667,9.025,7.575,6.556886228,5.772727273,5.184397163,4.675213675
0.01,0.0005,0.000815633,0.098831554,3,1.428571429,1.2,1.115384615,1.085714286,1.068181818,1.056603774,1.05,1.043478261,1.038961039
0.01,0.001,0.000148134,0.082092692,3,1.166666667,1.058823529,1.043478261,1.033333333,1.025641026,1.058823529,1.046153846,1.04,1.045977011
0.01,0.003,0.002822814,0.089714492,4,2.285714286,1.764705882,1.53125,1.470588235,1.432835821,1.421052632,1.386363636,1.408163265,1.4
0.01,0.005,0.005605479,0.085263158,4,1.875,1.545454545,1.655172414,1.578947368,1.574468085,1.636363636,1.650793651,1.652173913,1.618421053
0.011,0.0005,0.000448672,0.08420306,3,1.428571429,1.230769231,1.15,1.111111111,1.088235294,1.068181818,1.057692308,1.050847458,1.045454545
0.011,0.001,0.000450299,0.080936665,3,1.333333333,1.285714286,1.208333333,1.212121212,1.227272727,1.196428571,1.162162162,1.130434783,1.127272727
0.011,0.003,0.001697751,0.084213767,3,1.666666667,1.375,1.344827586,1.302325581,1.349206349,1.30952381,1.278350515,1.287037037,1.319327731
0.011,0.005,0.003678214,0.085263158,4,1.875,1.545454545,1.6,1.578947368,1.5,1.555555556,1.548387097,1.549295775,1.567901235
0.099,0.0005,0.000540436,0.183510899,4,2.6965E+308,2.6965E+308,1.666666667,1.6,1.6,1.416666667,1.3,1.230769231,1.206896552
0.099,0.001,0.006064393,0.010969906,6,2.285714286,1.857142857,1.914285714,1.854545455,1.768292683,1.826086957,1.785234899,1.790322581,1.765957447
0.099,0.003,0.001414214,0.010408899,16,9.75,8.208333333,7.25,6.625,6.058823529,5.824242424,5.360730594,4.867857143,4.433908046
0.099,0.005,0.003004626,0.006414998,21,15.5,13.125,10.8125,8.875,7.525,6.51497006,5.765765766,5.143859649,4.63943662
0.01,0.0005,0.000776273,0.098092616,3,1.428571429,1.230769231,1.15,1.107142857,1.081081081,1.066666667,1.056603774,1.048387097,1.042253521
0.01,0.001,0.000613493,0.079334942,3,1.333333333,1.166666667,1.090909091,1.068965517,1.071428571,1.057692308,1.060606061,1.061728395,1.063829787
0.01,0.003,0.002995389,0.091269327,4,2,1.6,1.5,1.454545455,1.450704225,1.379310345,1.37755102,1.389380531,1.3984375
0.01,0.005,0.003817811,0.093849803,4,1.857142857,1.777777778,1.851851852,1.805555556,1.717391304,1.722222222,1.714285714,1.712328767,1.722891566
0.011,0.0005,0.000821963,0.096009405,3,1.333333333,1.25,1.15,1.107142857,1.083333333,1.068181818,1.056603774,1.049180328,1.044117647
0.011,0.001,0.000569598,0.084682561,3,1.428571429,1.266666667,1.217391304,1.181818182,1.136363636,1.120689655,1.101449275,1.085365854,1.074468085
0.011,0.003,0.004241798,0.083337393,4,1.625,1.5,1.45,1.5,1.625,1.539473684,1.488095238,1.446808511,1.416666667
0.011,0.005,0.0003125,0.093558099,4,2.125,1.85,1.655172414,1.58974359,1.632653061,1.62295082,1.647887324,1.614457831,1.591397849
0.099,0.0005,0.002951364,0.009374575,4,1,1.111111111,1.222222222,1.266666667,1.244444444,1.225806452,1.216216216,1.204545455,1.188679245
0.099,0.001,0.001918976,0.01009183,6,2,2.222222222,2.25,1.951612903,1.946236559,1.84496124,1.781818182,1.725490196,1.695121951
0.099,0.003,0.009552487,0.008540498,17,10.375,7.583333333,6.5625,6.202531646,6.092436975,5.688622754,5.148648649,4.719858156,4.309659091
0.099,0.005,0.007905694,0.010817243,23,14.625,12.66666667,11.0625,9.0125,7.6,6.580838323,5.775784753,5.146341463,4.641456583
0.01,0.0005,0.002268837,0.097942866,3,1.4,1.5,1.5,1.526315789,1.5,1.517241379,1.485714286,1.512195122,1.489361702
0.01,0.001,0.000663086,0.088881085,3,1.8,1.5,1.333333333,1.25,1.184210526,1.12962963,1.125,1.131578947,1.129411765
0.01,0.003,0.005101634,0.091991612,4,1.857142857,1.611111111,1.535714286,1.416666667,1.459016393,1.452054795,1.469879518,1.452631579,1.410714286
0.01,0.005,0.001542869,0.090815404,4,1.875,1.590909091,1.666666667,1.55,1.608695652,1.535714286,1.53125,1.520547945,1.530120482
0.011,0.0005,0.000592695,0.079599125,3,1.333333333,1.25,1.166666667,1.12,1.09375,1.073170732,1.057692308,1.047619048,1.041666667
0.011,0.001,0.000881939,0.083342083,3,1.8,1.266666667,1.192307692,1.166666667,1.12962963,1.102941176,1.122222222,1.132075472,1.13559322
0.011,0.003,0.002862718,0.082292162,4,1.571428571,1.4,1.269230769,1.222222222,1.305084746,1.432098765,1.444444444,1.4375,1.431372549
0.011,0.005,0.004161251,0.085736697,3,1.625,1.55,1.551724138,1.487179487,1.553191489,1.561403509,1.6,1.581081081,1.547619048
0.099,0.0005,0.001074289,0.017103088,3,1,1,1,1.0625,1.04,1.027027027,1.065217391,1.071428571,1.074626866
0.099,0.001,0.008953987,0.010755928,6,2.125,2.052631579,2.025,1.876923077,1.802197802,1.745901639,1.696774194,1.666666667,1.645299145
0.099,0.003,0.006800735,0.007190599,17,9,7.791666667,6.708333333,6.253164557,6.189655172,5.725609756,5.204545455,4.767857143,4.380403458
0.099,0.005,0.00559017,0.011061093,22,16,13.33333333,10.79166667,9.0375,7.633333333,6.55952381,5.741071429,5.083333333,4.592178771
0.01,0.0005,0.000905333,0.081312198,3,1.285714286,1.133333333,1.090909091,1.064516129,1.054054054,1.043478261,1.036363636,1.031746032,1.027777778
0.01,0.001,0.000405385,0.083983961,3,1.6,1.272727273,1.142857143,1.107142857,1.081081081,1.08,1.096774194,1.092105263,1.111111111
0.01,0.003,0.003120036,0.083060431,3,1.625,1.45,1.441176471,1.436363636,1.383561644,1.344827586,1.357142857,1.354545455,1.338842975
0.01,0.005,0.004961396,0.089663328,4,2.125,1.727272727,1.677419355,1.657894737,1.586956522,1.537037037,1.516129032,1.521126761,1.543209877
