File name,Search Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer 01 mean,Layer 02 mean,Layer 03 mean,Layer 04 mean,Layer 05 mean,Layer 06 mean,Layer 07 mean,Layer 08 mean,Layer 09 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
rack_2.json,0.08,0.005,0.029887288,0.030295285,315,189.25,187.0416667,170.875,152.4375,134.8666667,120.1190476,107.4866071,97.21180556,88.67222222,81.58181818,75.48295455,70.33814103,66.09065934,62.21071429,58.928125,56.00275735,53.55637255,51.57675439,49.97171053,48.80178571,0.169678314
rack_2.json,0.09,0.001,0.078261421,0.08001212,148,23.25,14.45833333,13.70833333,10.8375,8.666666667,8.18452381,7.584821429,7.166666667,7.386111111,7.593181818,7.318181818,7.241987179,7.203296703,6.797619048,6.601041667,6.664522059,6.558823529,6.513888889,6.416447368,6.45952381,1
rack_2.json,0.09,0.003,0.16955073,0.16929451,242,102.25,91.16666667,86.0625,79.3,73.975,69.4702381,65.57142857,61.40277778,57.65277778,54.17045455,50.84848485,47.68429487,45.07005495,42.63452381,40.37604167,38.41636029,36.60457516,35.03362573,33.51184211,32.08095238,0.234071908
rack_2.json,0.09,0.005,0.168271358,0.168893019,290,159.625,149.4166667,134.8541667,121.85,109.6666667,97.81547619,88.04464286,79.95486111,72.97777778,66.96136364,61.48863636,56.89903846,53.10027473,49.94285714,47.121875,44.703125,42.49183007,40.5248538,38.76907895,37.39166667,0.202421342
rack_2.json,0.1,0.001,0.088232647,0.014940656,154,19.875,25.08333333,22.0625,18.5625,18.125,18.01785714,17.625,18.20486111,18.37777778,18.70909091,18.45075758,18.26923077,17.92857143,17.52857143,17.25520833,16.95955882,16.50980392,16.2251462,15.78881579,15.3827381,1
rack_2.json,0.1,0.003,0.004609772,0.004847479,216,118.125,115.2083333,114.2291667,110.2875,101.45,94,88.45089286,82.00694444,75.78333333,70.43863636,65.45833333,61.1474359,57.45467033,53.9797619,51.003125,48.37132353,46.04575163,43.85233918,41.79342105,39.89047619,0.133887682
rack_2.json,0.1,0.005,0.009552487,0.009581195,321,204,195.4166667,180.3541667,160.3375,141.5583333,126.2142857,113.8035714,102.4652778,93.46666667,85.47727273,78.77083333,72.75961538,67.77884615,63.32380952,59.4875,56.34834559,53.33006536,50.73611111,48.37894737,46.34821429,0.165174179
rack_2.json,0.11,0.001,0.198293848,0.19843949,143,8.5,18.83333333,12.97916667,13.1875,13.24166667,12.33333333,11.98214286,12.47222222,13.00277778,12.88863636,13.34659091,13.01121795,12.98489011,12.57261905,12.40520833,12.11121324,11.90931373,11.73538012,11.38289474,11.15059524,1
rack_2.json,0.11,0.003,0.188254748,0.188303013,252,108.25,90.29166667,88.22916667,84.3625,79.825,75.2797619,70.28125,65.92013889,61.09722222,57.325,53.82765152,50.83974359,48.06730769,45.27857143,42.83229167,40.67922794,38.67565359,36.88815789,35.28355263,33.81785714,0.221532794
rack_2.json,0.11,0.005,0.188804793,0.188480914,266,185.5,170,145.7291667,128.675,113.2333333,100.3095238,89.97321429,81.40277778,74.31666667,68.37045455,63.22159091,58.92467949,55.2239011,52.05952381,49.29583333,46.83639706,44.65604575,42.64254386,40.83552632,39.19107143,0.166158581
