Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.09,0.0005,0.005313602,0.011672618,4,2.6965E+308,1.333333333,1.307692308,1.238095238,1.21875,1.254901961,1.21875,1.189873418,1.171717172
0.09,0.001,0.011045361,0.011244554,8,2.428571429,2,1.894736842,1.774193548,1.709302326,1.651785714,1.609589041,1.569148936,1.549107143
0.09,0.003,0.005200078,0.016192993,11,7.125,5.608695652,4.772727273,4.208333333,3.925925926,3.854304636,3.642156863,3.532075472,3.419939577
0.09,0.005,0.00559017,0.015786305,16,8.125,7,6.181818182,5.802631579,5.732758621,5.196319018,4.666666667,4.219081272,3.894285714
0.1,0.0005,0.001558806,0.003662521,5,1.5,1.25,1.35,1.342857143,1.404255319,1.448717949,1.454545455,1.441176471,1.441176471
0.1,0.001,0.000850092,0.002025,8,4,3.708333333,3.708333333,3.513157895,3.245614035,3,2.736585366,2.562992126,2.416393443
0.1,0.003,0.002692582,0.003744802,23,15.25,12.75,9.916666667,8.05,6.683333333,5.748502994,5.086363636,4.516014235,4.123919308
0.1,0.005,0.005,0.004771229,34,20.125,15,11.20833333,9.05,7.433333333,6.345238095,5.591928251,4.968421053,4.511299435
0.11,0.0005,0.006098858,0.020174929,4,1,1,1.058823529,1.090909091,1.074074074,1.071428571,1.107142857,1.109375,1.116883117
0.11,0.001,0.001581139,0.010188351,7,2.166666667,2.19047619,2,1.875,1.893617021,1.820512821,1.780821918,1.728813559,1.677419355
0.11,0.003,0.007,0.007457386,15,9.125,7.086956522,5.723404255,5.417721519,5.403361345,5.240963855,4.78280543,4.37366548,4.020114943
0.11,0.005,0.010307764,0.010451005,21,10.75,9.25,9.083333333,8.253164557,7.092436975,6.125748503,5.408071749,4.828671329,4.351123596
0.09,0.0005,0.000347575,0.00820061,3,2.6965E+308,1,1,1,1,1.071428571,1.078947368,1.081632653,1.092307692
0.09,0.001,0.000873708,0.013677079,5,1.875,1.944444444,1.783783784,1.655172414,1.619047619,1.646551724,1.660130719,1.641025641,1.641350211
0.09,0.003,0.00790892,0.009939373,10,5.75,4.772727273,4.571428571,4.294117647,4.038461538,4.013422819,3.887254902,3.755725191,3.570121951
0.09,0.005,0.004116084,0.014199678,14,8.375,7.125,6.173913043,5.866666667,5.210526316,4.99382716,4.615740741,4.260869565,3.915451895
0.1,0.0005,0.008190708,0.001015436,5,1.666666667,1.461538462,1.705882353,1.672727273,1.608108108,1.690909091,1.633802817,1.590909091,1.560386473
0.1,0.001,0.001425219,0.006187902,9,2.857142857,2.85,2.756097561,2.609375,2.587628866,2.574626866,2.494318182,2.472972973,2.352727273
0.1,0.003,0.004123106,0.003895349,25,15,12.54166667,9.854166667,8.037974684,6.711864407,5.792682927,5.073394495,4.566787004,4.167155425
0.1,0.005,0.007071068,0.006369735,33,20.125,15,11.20833333,8.95,7.383333333,6.347305389,5.578475336,4.98943662,4.536931818
0.11,0.0005,0.003693932,0.010817296,4,1,1,1,1.3,1.24137931,1.219512195,1.203389831,1.189189189,1.170212766
0.11,0.001,0.000689757,0.016517854,6,1.5,2.111111111,1.666666667,1.585365854,1.590163934,1.602409639,1.619469027,1.597122302,1.543352601
0.11,0.003,0.004854122,0.013399215,14,8.875,6.958333333,5.875,5.538461538,5.344827586,5.223602484,4.821596244,4.412408759,4.046511628
0.11,0.005,0.005,0.005114899,22,13.75,11.33333333,9.75,8.2125,7.067226891,6.15060241,5.474885845,4.865248227,4.429799427
0.09,0.0005,0.000239815,0.063767155,3,2.6965E+308,2,1.5,1.4,1.375,1.272727273,1.357142857,1.333333333,1.25
0.09,0.001,0.005771698,0.016048189,7,2.375,1.952380952,1.837837838,1.785714286,1.675,1.607476636,1.538461538,1.52247191,1.54185022
0.09,0.003,0.009552487,0.014332903,12,5.25,4.5,4.170212766,4.175675676,4.083333333,3.835526316,3.570731707,3.484848485,3.333333333
0.09,0.005,0.007,0.014769583,15,8.625,7.173913043,6.244444444,5.706666667,5.226086957,4.828220859,4.502283105,4.146953405,3.824712644
0.1,0.0005,0.009651491,0.001050389,5,1.5,1.357142857,1.451612903,1.58490566,1.712328767,1.737373737,1.666666667,1.644578313,1.595854922
0.1,0.001,0.001511275,0.002149165,8,5.125,4.826086957,3.936170213,3.459459459,3.267857143,2.961538462,2.745,2.561264822,2.450847458
0.1,0.003,0.003201562,0.004124602,21,14.25,11.875,9.75,7.925,6.608333333,5.71257485,5.077272727,4.546428571,4.138728324
0.1,0.005,0.0025,0.000601681,32,20.25,15.04166667,11.02083333,8.95,7.420168067,6.359281437,5.56561086,4.996466431,4.521367521
0.11,0.0005,0.000426254,0.009584479,3,1.333333333,1.25,1.25,1.142857143,1.157894737,1.14,1.169230769,1.160493827,1.134020619
0.11,0.001,0.007815449,0.015436836,6,1.333333333,1.526315789,1.5625,1.479166667,1.5,1.510638298,1.469230769,1.532544379,1.533653846
0.11,0.003,0.001587659,0.010280897,13,8.5,7.25,6.659574468,6.164556962,5.658119658,5.274390244,4.981395349,4.554744526,4.170588235
0.11,0.005,0.012133516,0.010587144,22,13.375,12.20833333,10.5,8.6,7.191666667,6.196428571,5.427927928,4.852112676,4.401129944
0.09,0.0005,0.003321762,0.009661277,4,1,1.285714286,1.466666667,1.307692308,1.307692308,1.26,1.223880597,1.219512195,1.239583333
0.09,0.001,0.00480316,0.018248288,6,2,1.615384615,1.5,1.511111111,1.507246377,1.53125,1.508064516,1.574074074,1.572139303
0.09,0.003,0.006400781,0.018632989,11,5.375,4.782608696,4.021276596,3.84,3.669724771,3.562913907,3.445544554,3.423664122,3.335365854
0.09,0.005,0.007603453,0.015723007,15,8.5,7.727272727,6.954545455,6.276315789,5.843478261,5.314814815,4.809302326,4.351449275,3.965217391
0.1,0.0005,0.008580738,0.001257522,4,1.5,1.555555556,1.617647059,1.58490566,1.613333333,1.557692308,1.526315789,1.502994012,1.48989899
0.1,0.001,0.002575394,0.002271818,10,4.625,4.608695652,4.043478261,3.77027027,3.318181818,2.993421053,2.823834197,2.639344262,2.526132404
0.1,0.003,0.002692582,0.001494199,27,16.75,13.04166667,10.14583333,8.05,6.708333333,5.784431138,5.090497738,4.58781362,4.196480938
0.1,0.005,0.00372678,0.004436169,27,19.5,14.875,11.29166667,9.025,7.466666667,6.369047619,5.540178571,4.930313589,4.474719101
0.11,0.0005,0.000481893,0.0202608,3,2.6965E+308,1,1,1,1,1,1,1,1
0.11,0.001,0.005683457,0.009784154,6,2.428571429,2.2,1.973684211,1.819672131,1.738095238,1.684210526,1.657342657,1.620879121,1.613953488
0.11,0.003,0.003288818,0.011408911,14,7.125,6.375,6.0625,5.525,5.168067227,4.804878049,4.62962963,4.357400722,4.084795322
0.11,0.005,0.00372678,0.006889274,22,11.75,11.5,10.0625,8.35,7.05,6.131736527,5.45,4.900355872,4.433048433
0.09,0.0005,0.000468055,0.015584225,3,1.5,1.3,1.263157895,1.214285714,1.184210526,1.160714286,1.23880597,1.238095238,1.237623762
0.09,0.001,0.007878378,0.013753551,5,1.833333333,1.666666667,1.666666667,1.571428571,1.535714286,1.537815126,1.530201342,1.544444444,1.566964286
0.09,0.003,0.007382412,0.013091558,13,5.125,4.75,4.644444444,4.164383562,3.816513761,3.655844156,3.75,3.696629213,3.517964072
0.09,0.005,0.002020305,0.017750108,14,7,6.47826087,5.795454545,5.131578947,5.155172414,4.993865031,4.585253456,4.18705036,3.858381503
0.1,0.0005,0.003321132,0.000555556,5,1.333333333,1.153846154,1.551724138,1.488888889,1.424657534,1.452830189,1.422222222,1.426035503,1.421568627
0.1,0.001,0.001257864,0.003597317,8,2.875,3,2.936170213,2.906666667,2.828828829,2.693333333,2.617346939,2.510204082,2.38047138
0.1,0.003,0.00254951,0.002089952,20,14.375,12.33333333,9.729166667,7.8625,6.6,5.682634731,5.009009009,4.454225352,4.083094556
0.1,0.005,0.00559017,0.004514997,30,19.625,14.66666667,11.16666667,8.975,7.366666667,6.389221557,5.540540541,4.954545455,4.450704225
0.11,0.0005,0.000507711,0.02617728,3,2.6965E+308,1.333333333,1.125,1.117647059,1.090909091,1.08,1.057142857,1.075,1.068181818
0.11,0.001,0.012141423,0.013846368,6,1.4,1.722222222,1.578947368,1.576271186,1.567901235,1.609090909,1.563380282,1.620689655,1.565217391
0.11,0.003,0.003452299,0.01193299,13,8.375,6.791666667,5.854166667,5.575,5.453781513,5.198795181,4.889908257,4.503623188,4.152046784
0.11,0.005,0.00559017,0.006680662,22,12.75,11.83333333,10,8.325,7.058333333,6.095238095,5.411764706,4.865248227,4.397727273
0.09,0.0005,0.000294599,0.014142136,3,1,1,1,1.04,1.0625,1.040816327,1.080645161,1.078947368,1.090909091
0.09,0.001,0.002109502,0.013110813,7,2.8,2.222222222,2,2.054545455,1.92,1.784313725,1.782945736,1.679012346,1.62755102
0.09,0.003,0.002992073,0.011203614,10,7.25,5.681818182,5.093023256,4.605633803,4.388888889,4.08974359,3.899038462,3.734082397,3.584097859
0.09,0.005,0.004123106,0.014393473,14,8.5,6.916666667,6.29787234,5.782051282,5.372881356,4.987878788,4.581818182,4.19434629,3.876790831
0.1,0.0005,0.006996047,0.003689847,5,1.857142857,1.421052632,1.405405405,1.509090909,1.459459459,1.494845361,1.452380952,1.439490446,1.430851064
0.1,0.001,0.001628822,0.006257483,9,3.142857143,2.5,2.681818182,2.555555556,2.386792453,2.319444444,2.254054054,2.252173913,2.281690141
0.1,0.003,0.002474874,0.003949167,21,15.375,12.875,10,7.9625,6.638655462,5.751515152,5.036697248,4.539568345,4.127906977
0.1,0.005,0.00559017,0.004960126,27,19.5,14.83333333,11.20833333,9.0375,7.458333333,6.401197605,5.615384615,4.982332155,4.494350282
0.11,0.0005,0.000607706,0.011587304,3,1,1,1,1,1.032258065,1.068181818,1.066666667,1.065789474,1.114583333
0.11,0.001,0.004315094,0.014494145,6,2,1.666666667,1.78125,1.611111111,1.658227848,1.657657658,1.643356643,1.572222222,1.557077626
0.11,0.003,0.004667039,0.010293499,13,7.125,7.363636364,7,6.666666667,6.179487179,5.515151515,4.97260274,4.523297491,4.144508671
0.11,0.005,0.001666667,0.006792377,21,14.125,12.16666667,10.35416667,8.4875,7.091666667,6.06547619,5.3632287,4.77972028,4.34084507
0.09,0.0005,0.006358222,0.014773287,4,2.6965E+308,1,1.272727273,1.263157895,1.161290323,1.177777778,1.174603175,1.217948718,1.234042553
0.09,0.001,0.004643787,0.011096158,6,1.875,1.736842105,1.757575758,1.735849057,1.763157895,1.78,1.824427481,1.780487805,1.74742268
0.09,0.003,0.006388466,0.015071147,11,6.25,4.916666667,4.630434783,4.232876712,4,3.765100671,3.648514851,3.625954198,3.474006116
0.09,0.005,0.002795085,0.013979249,15,8.375,6.869565217,5.804347826,5.38961039,5.247863248,5.006134969,4.580645161,4.17562724,3.841954023
0.1,0.0005,0.001101136,0.002554408,6,1.333333333,1.333333333,1.620689655,1.591836735,1.514285714,1.595959596,1.580152672,1.547169811,1.549222798
0.1,0.001,0.001787925,0.004383517,8,2.625,3.25,3.558139535,3.219178082,3.166666667,2.945945946,2.748717949,2.576271186,2.491289199
0.1,0.003,0.003535534,0.003784607,23,17,13.33333333,10.0625,8.05,6.739495798,5.753012048,5.049773756,4.566308244,4.184750733
0.1,0.005,0.00559017,0.004420026,33,21.75,14.75,11.20833333,8.8125,7.445378151,6.375757576,5.602739726,4.96819788,4.445070423
0.11,0.0005,0.008105622,0.023048861,4,2.6965E+308,1,1,1.083333333,1.076923077,1.047619048,1.034482759,1.028571429,1.02173913
0.11,0.001,0.009573174,0.013382901,6,2,2.125,1.935483871,2,1.802469136,1.849056604,1.791044776,1.741176471,1.733990148
0.11,0.003,0.001,0.010217693,16,8,7.130434783,6.531914894,6.253164557,5.798319328,5.461077844,4.977375566,4.514184397,4.131428571
0.11,0.005,0.003435921,0.010790446,19,13.625,11.45833333,9.979166667,8.325,7.083333333,6.089285714,5.399103139,4.845614035,4.4
0.09,0.0005,0.009980304,0.014241489,4,1,1.285714286,1.411764706,1.384615385,1.297297297,1.301886792,1.276923077,1.253012048,1.259615385
0.09,0.001,0.008219669,0.015733178,6,1.875,1.631578947,1.763157895,1.762711864,1.83908046,1.768595041,1.695364238,1.626315789,1.575892857
0.09,0.003,0.014916434,0.015289444,14,7.125,5.739130435,4.837209302,4.257142857,3.960784314,3.68707483,3.725,3.651340996,3.52
0.09,0.005,0.001756821,0.014724544,14,8.125,7,6.177777778,6,5.623931624,5.18902439,4.659090909,4.24822695,3.883190883
0.1,0.0005,0.00246705,0.006685163,4,1,1,1.260869565,1.166666667,1.20754717,1.22972973,1.267326733,1.288,1.278145695
0.1,0.001,0.000333333,0.005033679,10,2.875,2.956521739,2.909090909,2.857142857,2.831775701,2.633802817,2.595628415,2.465217391,2.364285714
0.1,0.003,0.001118034,0.00138795,22,17.25,13.54166667,10.25,8.0625,6.65,5.748502994,5.063636364,4.544483986,4.162318841
0.1,0.005,0.00372678,0.00642085,29,21.5,15.29166667,11.5,9,7.508333333,6.407185629,5.556053812,5.01056338,4.53125
