Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.002893311,0.063833553,5,1.875,1.166666667,0.875,0.8125,0.791666667,0.738095238,0.674107143,0.611111111,0.563888889,0.520454545,0.482954545,0.455128205,0.429945055,0.420238095,0.398958333,0.380514706,0.366013072,0.349415205,0.332894737,0.320238095,0.284660387
0.05,0.001,0.03,0.003584052,0.075417275,4,1.25,0.791666667,0.583333333,0.475,0.433333333,0.386904762,0.383928571,0.381944444,0.380555556,0.381818182,0.386363636,0.408653846,0.395604396,0.378571429,0.363541667,0.351102941,0.343137255,0.331871345,0.335526316,0.330357143,0.305969117
0.05,0.003,0.01,0.006082397,0.068617852,6,2.375,1.833333333,1.416666667,1.375,1.258333333,1.142857143,1.0625,1.006944444,0.961111111,0.915909091,0.878787879,0.850961538,0.82967033,0.803571429,0.78125,0.756433824,0.736928105,0.723684211,0.705263158,0.689880952,0.221368833
0.05,0.003,0.03,0.020368587,0.07763296,6,2.625,2,1.75,1.4625,1.341666667,1.238095238,1.160714286,1.072916667,1.030555556,0.975,0.924242424,0.883012821,0.846153846,0.814285714,0.78125,0.756433824,0.743464052,0.733918129,0.723026316,0.719642857,0.209923222
0.05,0.005,0.01,0.01155096,0.064786,6,2.75,2,1.875,1.6125,1.433333333,1.398809524,1.316964286,1.270833333,1.202777778,1.159090909,1.142045455,1.108974359,1.115384615,1.092857143,1.080208333,1.113970588,1.135620915,1.144736842,1.120394737,1.092261905,0.180909446
0.05,0.005,0.03,0.019764235,0.066955361,7,3.5,2.291666667,1.875,1.7125,1.6,1.44047619,1.299107143,1.236111111,1.2,1.156818182,1.109848485,1.102564103,1.104395604,1.120238095,1.080208333,1.0625,1.081699346,1.105263158,1.084868421,1.070833333,0.198671184
0.09,0.001,0.01,0.009039848,0.023206311,5,1.5,1.333333333,1.1875,1.0875,0.941666667,0.833333333,0.772321429,0.708333333,0.661111111,0.620454545,0.621212121,0.613782051,0.590659341,0.561904762,0.544791667,0.523897059,0.505718954,0.489035088,0.472368421,0.457142857,0.249674598
0.09,0.001,0.03,0.008693513,0.036615874,5,0.875,0.916666667,0.833333333,0.7125,0.666666667,0.601190476,0.575892857,0.555555556,0.547222222,0.525,0.517045455,0.53525641,0.521978022,0.517857143,0.497916667,0.487132353,0.485294118,0.471491228,0.452631579,0.439880952,0.298765887
0.09,0.003,0.01,0.004859127,0.024691914,9,4.375,3.583333333,2.895833333,2.7625,2.5,2.285714286,2.102678571,2.013888889,1.938888889,1.872727273,1.854166667,1.84775641,1.866758242,1.855952381,1.833333333,1.780330882,1.718137255,1.659356725,1.602631579,1.54702381,0.170145152
0.09,0.003,0.03,0.003200346,0.029443307,8,3.25,3.458333333,2.729166667,2.5125,2.4,2.202380952,2.044642857,1.930555556,1.877777778,1.825,1.772727273,1.756410256,1.733516484,1.716666667,1.694791667,1.660845588,1.610294118,1.561403509,1.538815789,1.489880952,0.1640497
0.09,0.005,0.01,0.015811388,0.020935203,12,6.125,4.625,3.770833333,3.65,3.358333333,3.267857143,3.1875,3.038194444,3.047222222,2.943181818,2.791666667,2.641025641,2.502747253,2.36547619,2.25625,2.140625,2.04248366,1.95248538,1.875,1.801190476,0.168109437
0.09,0.005,0.03,0.007340905,0.020088485,9,6,4.791666667,4.166666667,3.775,3.575,3.422619048,3.352678571,3.298611111,3.166666667,2.984090909,2.823863636,2.684294872,2.543956044,2.407142857,2.288541667,2.179227941,2.08251634,1.992690058,1.911184211,1.830952381,0.128063985
0.1,0.001,0.01,0.004265602,0.01348907,5,1.5,1.5,1.333333333,1.1625,1.125,1.089285714,1.035714286,0.940972222,0.883333333,0.834090909,0.785984848,0.746794872,0.728021978,0.710714286,0.705208333,0.6875,0.674836601,0.676900585,0.671052632,0.674404762,0.213077425
0.1,0.001,0.03,0.026026057,0.013292532,5,1.375,1.166666667,1.083333333,0.875,0.85,0.773809524,0.723214286,0.701388889,0.722222222,0.713636364,0.696969697,0.685897436,0.671703297,0.655952381,0.64375,0.634191176,0.633169935,0.620614035,0.617105263,0.601785714,0.244553665
0.1,0.003,0.01,0.001746425,0.014485508,12,5.875,4.958333333,4.291666667,3.8,3.558333333,3.410714286,3.464285714,3.420138889,3.252777778,3.059090909,2.869318182,2.693910256,2.532967033,2.39047619,2.254166667,2.139705882,2.029411765,1.93494152,1.844078947,1.7625,0.16317247
0.1,0.003,0.03,0.002075039,0.002492424,10,5.375,5.125,4.770833333,4.625,4.341666667,4.119047619,3.919642857,3.663194444,3.422222222,3.175,2.954545455,2.764423077,2.598901099,2.435714286,2.291666667,2.167279412,2.056372549,1.954678363,1.865131579,1.781547619,0.132613917
0.1,0.005,0.01,0.004506939,0.013649919,13,8.25,6.708333333,5.6875,5.2875,5.316666667,5.125,4.745535714,4.319444444,3.977777778,3.665909091,3.401515152,3.161858974,2.956043956,2.770238095,2.616666667,2.475183824,2.350490196,2.247076023,2.147368421,2.058333333,0.140893243
0.1,0.005,0.03,0.021213203,0.024834807,13,7.875,6.5,5.958333333,5.475,5.058333333,4.755952381,4.450892857,4.270833333,3.941666667,3.679545455,3.403409091,3.136217949,2.93543956,2.741666667,2.590625,2.448529412,2.33496732,2.222222222,2.140789474,2.045238095,0.14291264
0.11,0.001,0.01,0.001433721,0.003898577,8,2.375,2.666666667,2.520833333,2.475,2.283333333,2.202380952,2.017857143,1.920138889,1.752777778,1.638636364,1.524621212,1.411858974,1.31456044,1.230952381,1.153125,1.090992647,1.025326797,0.97880117,0.926973684,0.883333333,0.193268599
0.11,0.001,0.03,0.01,0.009910727,8,1.5,1.833333333,1.625,1.45,1.3,1.148809524,1.138392857,1.090277778,1.058333333,1.031818182,1.013257576,0.959935897,0.93543956,0.913095238,0.888541667,0.853860294,0.834150327,0.826023392,0.803947368,0.785119048,0.266761497
0.11,0.003,0.01,0.002236068,0.00223793,24,15.375,12.41666667,9.75,7.8875,6.641666667,5.672619048,4.959821429,4.416666667,3.955555556,3.597727273,3.299242424,3.036858974,2.822802198,2.639285714,2.469791667,2.324448529,2.199346405,2.083333333,1.978289474,1.883333333,0.194473776
0.11,0.003,0.03,0.008860023,0.010036258,16,9.375,7.291666667,6.854166667,6.2,5.533333333,5.023809524,4.580357143,4.190972222,3.794444444,3.470454545,3.208333333,2.967948718,2.760989011,2.59047619,2.435416667,2.296875,2.175653595,2.060672515,1.956578947,1.869642857,0.165568411
