Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.09,0.0005,0.003705628,0.002172447,4,2.25,2,1.846153846,1.676923077,1.641304348,1.620967742,1.592356688,1.564102564,1.525862069
0.09,0.001,0.001843909,0.005040653,10,3.714285714,3.5,3.431818182,3.319444444,3.12962963,2.874172185,2.75,2.722689076,2.6
0.09,0.003,0.005385165,0.005394605,22,15.75,11.83333333,9.70212766,7.810126582,6.56779661,5.606060606,4.931818182,4.393617021,3.991428571
0.09,0.005,0.00372678,0.004857479,24,18.875,14.33333333,10.72916667,8.5375,7.041666667,5.988095238,5.260089686,4.664335664,4.232294618
0.1,0.0005,0.000882689,0.0136565,4,2.6965E+308,1.666666667,1.235294118,1.269230769,1.212121212,1.211538462,1.169014085,1.142857143,1.12962963
0.1,0.001,0.002800129,0.013320127,6,2,1.5,1.533333333,1.705882353,1.8625,1.775862069,1.755102041,1.703296703,1.743243243
0.1,0.003,0.01077033,0.010982651,15,8.625,6.958333333,6.270833333,5.975,5.596638655,5.228915663,4.837104072,4.494661922,4.11747851
0.1,0.005,0.008858455,0.014189623,19,12.875,10.875,10.0625,8.974683544,7.613445378,6.638554217,5.832579186,5.207017544,4.688202247
0.11,0.0005,0.000866615,0.020955429,3,2,1.75,1.5,1.333333333,1.296296296,1.289473684,1.255319149,1.24137931,1.225352113
0.11,0.001,0.009443184,0.023032364,5,1.8,1.6,1.444444444,1.523809524,1.432835821,1.395604396,1.389830508,1.401408451,1.392857143
0.11,0.003,0.011981757,0.021852578,11,6.5,5.086956522,4.510638298,4.121621622,3.855769231,3.605633803,3.44973545,3.366666667,3.276094276
0.11,0.005,0.01,0.024342417,15,8,6.782608696,6.372093023,5.704225352,5.254545455,5.132911392,5.037914692,4.743589744,4.447058824
0.09,0.0005,0.00087548,0.003574473,5,1.2,1.4375,1.558823529,1.566037736,1.56,1.6,1.586466165,1.580246914,1.535
0.09,0.001,0.002222222,0.004023208,9,4.625,4.47826087,4.162790698,3.722222222,3.468468468,3.194805195,3.010050251,2.889344262,2.715254237
0.09,0.003,0.002692582,0.004075577,21,16.375,12.66666667,9.895833333,7.8625,6.566666667,5.577380952,4.923423423,4.38028169,3.954545455
0.09,0.005,0.002795085,0.004077397,23,14.75,12.625,10.16666667,8.25,6.958333333,5.982142857,5.205357143,4.707746479,4.255681818
0.1,0.0005,0.000143251,0.17712425,3,2.6965E+308,1,1,1.142857143,1.1,1.090909091,1.142857143,1.117647059,1.111111111
0.1,0.001,0.006064703,0.011983194,6,2,1.764705882,1.676470588,1.666666667,1.804878049,1.722689076,1.666666667,1.621212121,1.617283951
0.1,0.003,0.003201562,0.009929174,13,8.625,7.375,6.541666667,6.151898734,5.728813559,5.319277108,4.858447489,4.47311828,4.151162791
