Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.1,0.005,0.001785714,0.019724704,14,9.125,7.458333333,6.847826087,6.289473684,5.715517241,5.359756098,4.99537037,4.539568345,4.184971098
0.11,0.0005,0.004673912,0.01019929,4,1,1,1.111111111,1.172413793,1.139534884,1.155172414,1.142857143,1.127906977,1.157894737
0.11,0.001,0.0025,0.001325943,10,3.75,3.416666667,3.479166667,3.179487179,2.956521739,2.713375796,2.509803922,2.334661355,2.25083612
0.11,0.003,0.002692582,0.003877605,24,17,13.04166667,10.10416667,8.125,6.756302521,5.78313253,5.129032258,4.621818182,4.221238938
0.11,0.005,0.003535534,0.000610928,26,18.5,14.41666667,10.6875,8.4625,6.991666667,5.994011976,5.256756757,4.683098592,4.197740113
0.09,0.0005,0.000295636,0.023526913,3,1,1.333333333,1.142857143,1.157894737,1.125,1.114285714,1.093023256,1.102040816,1.147540984
0.09,0.001,0.005173928,0.026818617,5,2,1.722222222,1.611111111,1.589285714,1.526315789,1.494949495,1.465116279,1.45751634,1.455555556
0.09,0.003,0.014763236,0.024364754,10,3.75,4.047619048,3.725,3.4375,3.139784946,2.874015748,2.704819277,2.544600939,2.460377358
0.09,0.005,0,0.027166117,13,5.625,4.80952381,4.775,4.4375,4.106382979,3.785185185,3.617486339,3.608163265,3.53525641
0.1,0.0005,0.004634652,0.011294689,4,1,1,1.142857143,1.130434783,1.171428571,1.204545455,1.210526316,1.194029851,1.175
0.1,0.001,0.009961541,0.014795937,5,2.6,1.722222222,1.636363636,1.566037736,1.551282051,1.504587156,1.496402878,1.45508982,1.461928934
0.1,0.003,0.005632051,0.014663917,11,5.75,5.380952381,5.024390244,4.696969697,4.314285714,4.14379085,3.980769231,3.798507463,3.607784431
0.1,0.005,0.007615773,0.014884614,15,9,7.217391304,6.133333333,5.573333333,5.52173913,5.192546584,4.906976744,4.46953405,4.126801153
0.11,0.0005,0.003087416,0.001589025,5,1.25,1.733333333,1.678571429,1.574468085,1.507692308,1.547368421,1.491803279,1.460526316,1.441025641
0.11,0.001,0.00111575,0.002929457,7,4.428571429,3.608695652,3.260869565,3,2.794392523,2.639455782,2.524064171,2.426086957,2.293478261
0.11,0.003,0.001414214,0.001532065,26,18.375,13.375,10.125,8.1,6.831932773,5.796407186,5.118721461,4.55,4.133333333
0.11,0.005,0.007071068,0.006034567,31,19.125,13.875,10.5625,8.325,6.915966387,6.006024096,5.221719457,4.623239437,4.228571429
0.09,0.0005,0.000284129,0.033871079,3,1,1.166666667,1.083333333,1.05,1.071428571,1.058823529,1.046511628,1.040816327,1.037037037
0.09,0.001,0.006298291,0.024680854,5,1.833333333,1.615384615,1.615384615,1.615384615,1.523076923,1.472527473,1.486486486,1.47826087,1.441717791
0.09,0.003,0.005968459,0.024469549,9,5,3.913043478,3.595238095,3.53125,3.239130435,2.921875,2.803571429,2.697674419,2.606617647
0.09,0.005,0.002991758,0.024646889,12,5.875,5.272727273,4.731707317,4.4,4.052631579,3.753731343,3.637362637,3.56302521,3.501650165
0.1,0.0005,0.000720607,0.018601075,3,1,1,1.142857143,1.153846154,1.166666667,1.16,1.108108108,1.096153846,1.111111111
0.1,0.001,0.001583872,0.012794194,6,1.666666667,1.80952381,1.72972973,1.627118644,1.619047619,1.572727273,1.568345324,1.517647059,1.473684211
0.1,0.003,0.000565685,0.014782274,12,7.5,5.818181818,5.023255814,4.594202899,4.096153846,3.758389262,3.681372549,3.575757576,3.478658537
0.1,0.005,0.003004626,0.017579217,15,8.5,7.166666667,6.456521739,5.789473684,5.456896552,5.140243902,4.812785388,4.414893617,4.074074074
0.11,0.0005,0.009316067,0.009608346,4,1,1,1.25,1.285714286,1.24,1.2,1.229166667,1.28358209,1.284090909
0.11,0.001,0.001024394,0.008000977,8,2,1.916666667,1.925925926,2.090909091,2.037037037,2.118181818,2.069444444,2.091397849,2.042918455
0.11,0.003,0.004123106,0.004023878,24,15.25,12.375,9.9375,8.05,6.658333333,5.696428571,5.013513514,4.494699647,4.112068966
0.11,0.005,0,0.000566026,29,18.125,14.08333333,10.45833333,8.3375,6.983193277,5.987951807,5.259090909,4.673758865,4.210826211
0.09,0.0005,0.000663257,0.188383253,3,2.6965E+308,1,1.2,1.2,1.125,1.071428571,1.055555556,1.047619048,1.037037037
0.09,0.001,0.016917215,0.022571762,6,2.25,1.823529412,1.694444444,1.614035088,1.564102564,1.494949495,1.447154472,1.418300654,1.426966292
0.09,0.003,0.006054177,0.026962896,10,4.625,3.791666667,3.270833333,3.108108108,2.932692308,2.835714286,2.737430168,2.608108108,2.5
0.09,0.005,0.001397542,0.025922747,12,6.25,5,4.266666667,3.944444444,3.704761905,3.668965517,3.603092784,3.422310757,3.265625
0.1,0.0005,0.005714007,0.01491421,4,1,1,1.235294118,1.173913043,1.185185185,1.228571429,1.24,1.245614035,1.205479452
0.1,0.001,0.006965121,0.015692337,5,2.666666667,2.25,2.117647059,1.963636364,1.858974359,1.718181818,1.669117647,1.625,1.594059406
0.1,0.003,0.007379236,0.014317721,12,6.25,5.318181818,5.452380952,5,4.582524272,4.291390728,4.082125604,3.858736059,3.597633136
0.1,0.005,0.002795085,0.018537935,14,9.125,7.590909091,6.795454545,6.078947368,5.887931034,5.487804878,5.00456621,4.560714286,4.226086957
0.11,0.0005,0.004767042,0.002549105,4,1.4,1.4375,1.379310345,1.46,1.424657534,1.414893617,1.401639344,1.442176871,1.422222222
0.11,0.001,0.000980536,0.00220528,7,2.75,2.958333333,2.956521739,2.973684211,2.745614035,2.618421053,2.481865285,2.365145228,2.243816254
0.11,0.003,0.004716991,0.005376003,23,15,12.375,9.979166667,8,6.616666667,5.702380952,4.973214286,4.454545455,4.04494382
0.11,0.005,0.005,0.004488871,32,18.375,14.16666667,10.625,8.45,6.941666667,5.993975904,5.254545455,4.681978799,4.275071633
0.09,0.0005,0.000694258,0.016067998,3,1,1.166666667,1.090909091,1.071428571,1.045454545,1.071428571,1.0625,1.054054054,1.066666667
