Radius,Resolution,Distance 1,Distance 2,Highest Vote
0.099,0.0005,0.004739065,,4
0.099,0.001,0.00254951,0.001263158,8
0.099,0.003,0.001414214,0.001424496,23
0.099,0.005,0.005,0.004940329,24
0.01,0.0005,0.000184221,,3
0.01,0.001,0.000510102,,3
0.01,0.003,0.000332457,0.092433981,3
0.01,0.005,0.004036191,0.100001543,4
0.011,0.0005,0.001096956,,3
0.011,0.001,0.001062918,,3
0.011,0.003,0.002981917,,3
0.011,0.005,0.004822484,,3
0.099,0.0005,0.003834091,,5
0.099,0.001,0.000860114,0.000863496,8
0.099,0.003,0.003,0.004230917,21
0.099,0.005,0.0025,0.004678811,28
0.01,0.0005,0.000541827,,3
0.01,0.001,0.000450553,,3
0.01,0.003,0.00042797,0.095403333,3
0.01,0.005,0.005126947,0.096109889,3
0.011,0.0005,0.000550199,,3
0.011,0.001,0.000580158,,3
0.011,0.003,0.002581906,,3
0.011,0.005,0.006104207,0.095001624,4
0.099,0.0005,0.01353454,,5
0.099,0.001,0.001465865,0.003085464,8
0.099,0.003,0.003201562,0.001463901,21
0.099,0.005,0.001767767,0.006100421,23
0.01,0.0005,0.000926514,,3
0.01,0.001,0.000478198,,3
0.01,0.003,0.005300323,,4
0.01,0.005,0.005253024,0.096560665,3
0.011,0.0005,0.0005111,,3
0.011,0.001,0.000562349,0.092357999,3
0.011,0.003,0.003127456,,3
0.011,0.005,0.004955718,0.091092544,3
0.099,0.0005,0.005307414,,4
0.099,0.001,0.001274755,0.004631489,9
0.099,0.003,0.001118034,0.004059573,19
0.099,0.005,0.003846546,0.004968653,20
0.01,0.0005,0.000179814,,3
0.01,0.001,0.000687615,,3
0.01,0.003,0.002040326,,3
0.01,0.005,0.006816233,0.099862093,4
0.011,0.0005,0.000536802,,3
0.011,0.001,0.000494596,,3
0.011,0.003,0.004082365,,3
0.011,0.005,0.003017238,0.095938009,3
0.099,0.0005,0.003000519,,4
0.099,0.001,0.000601106,0.001976744,7
0.099,0.003,0.000894427,0.004907739,18
0.099,0.005,0.007071068,0.007032519,24
0.01,0.0005,0.000330708,,3
0.01,0.001,0.000649746,,3
0.01,0.003,0.002579654,0.09807456,3
0.01,0.005,0.001255381,,3
0.011,0.0005,0.000148712,,3
0.011,0.001,0.001033084,0.096083297,3
0.011,0.003,0.002540049,,3
0.011,0.005,0.008842197,,4
0.099,0.0005,0.002069008,,4
0.099,0.001,0.000960436,0.003451743,8
0.099,0.003,0.002236068,0.002212595,22
0.099,0.005,0.005,0.004599443,27
0.01,0.0005,0.001121441,,3
0.01,0.001,0.000758853,,3
0.01,0.003,0.002783205,,3
0.01,0.005,0.004698798,0.096109889,3
0.011,0.0005,0.000591011,,2
0.011,0.001,0.000717938,,3
0.011,0.003,0.003927586,,3
0.011,0.005,0.004200222,,3
0.099,0.0005,0.002398276,,5
0.099,0.001,0.001940957,0.003700982,8
0.099,0.003,0.001118034,0.003889499,19
0.099,0.005,0.003162278,0.006652503,22
0.01,0.0005,0.000415389,,3
0.01,0.001,0.00108892,,3
0.01,0.003,0.001558948,,3
0.01,0.005,0.005733183,,3
0.011,0.0005,0.001010329,,3
0.011,0.001,0.001129142,,3
0.011,0.003,0.001888032,,3
0.011,0.005,0.00237375,0.095856374,3
0.099,0.0005,0.007184968,,4
0.099,0.001,0.00208414,0.003734321,7
0.099,0.003,0.002512469,0.009842053,18
0.099,0.005,0.003162278,0.00465987,23
0.01,0.0005,0.000373257,,3
0.01,0.001,0.000282658,,3
0.01,0.003,0.000861707,,3
0.01,0.005,0.00284447,,3
0.011,0.0005,0.000398989,,3
0.011,0.001,0.000795331,0.090502032,3
0.011,0.003,0.002462512,,3
0.011,0.005,0.003957803,,3
0.099,0.0005,0.008071226,,4
0.099,0.001,0.001414214,0.001510979,13
0.099,0.003,0.001118034,0.004248174,22
0.099,0.005,0.00559017,0.00677805,27
0.01,0.0005,0.000372968,,3
0.01,0.001,0.000518231,,3
0.01,0.003,0.003853086,,3
0.01,0.005,0.002913563,,3
0.011,0.0005,0.000862224,,3
0.011,0.001,0.00120608,,3
0.011,0.003,0.003599046,,3
0.011,0.005,0.002984627,,3
0.099,0.0005,0.0025,,6
0.099,0.001,0.001301708,0.002970588,9
0.099,0.003,0.002692582,0.001367849,20
0.099,0.005,0.00451754,0.006631103,22
0.01,0.0005,0.000217163,,3
0.01,0.001,0.000559056,,3
0.01,0.003,0.001924686,,3
0.01,0.005,0.002357645,0.095835654,3
0.011,0.0005,0.000508532,,3
0.011,0.001,7.52251E-05,,3
0.011,0.003,0.002745481,,3
0.011,0.005,0.005973214,0.096490163,3
