Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.004123106,0.004085065,15,6.875,5.708333333,5.333333333,4.8375,4.55,4.220238095,3.857142857,3.625,3.408333333,3.140909091,2.903409091,2.698717949,2.517857143,2.373809524,2.233333333,2.104779412,1.995098039,1.899853801,1.806578947,1.724404762,0.181129599
0.05,0.003,0.01,0.001118034,0.002000096,25,16,13.41666667,10.70833333,8.65,7.241666667,6.214285714,5.419642857,4.805555556,4.338888889,3.961363636,3.632575758,3.370192308,3.141483516,2.939285714,2.763541667,2.614889706,2.490196078,2.379385965,2.298026316,2.226785714,0.18710787
0.05,0.005,0.01,0.003535534,0.004586078,25,21,14.04166667,10.47916667,8.2875,6.983333333,6.029761905,5.267857143,4.746527778,4.338888889,4.05,3.731060606,3.53525641,3.398351648,3.330952381,3.228125,3.107536765,3.020424837,2.938596491,2.782236842,2.53452381,0.176265166
0.1,0.001,0.01,0.00161873,0.052179254,5,1,0.833333333,0.916666667,0.825,0.75,0.714285714,0.660714286,0.649305556,0.630555556,0.611363636,0.604166667,0.567307692,0.535714286,0.516666667,0.508333333,0.479779412,0.45996732,0.455409357,0.438157895,0.430357143,0.284299538
0.1,0.003,0.01,0.016894775,0.050864528,10,5.75,4.375,3.4375,2.9,2.583333333,2.392857143,2.227678571,2.121527778,2.033333333,1.959090909,1.903409091,1.854166667,1.804945055,1.763095238,1.720833333,1.680147059,1.665849673,1.666666667,1.661184211,1.656547619,0.174956191
0.1,0.005,0.01,0.040720551,0.052665743,13,6.5,5.625,4.770833333,4.2,3.758333333,3.541666667,3.361607143,3.28125,3.180555556,3.079545455,2.982954545,3.006410256,3.020604396,3.011904762,3.020833333,3.024816176,3.044934641,3.070906433,3.070394737,3.017857143,0.153718071
0.15,0.001,0.01,0.00352453,0.103356558,4,0.5,0.666666667,0.625,0.5625,0.516666667,0.488095238,0.441964286,0.423611111,0.394444444,0.384090909,0.361742424,0.346153846,0.324175824,0.304761905,0.288541667,0.275735294,0.269607843,0.259502924,0.256578947,0.248214286,0.335062976
0.15,0.003,0.01,0.005005275,0.1008621,9,3.25,2.958333333,2.3125,2.025,1.866666667,1.767857143,1.65625,1.5625,1.491666667,1.427272727,1.365530303,1.298076923,1.245879121,1.21547619,1.196875,1.162683824,1.134803922,1.11622807,1.100657895,1.086309524,0.218231722
0.15,0.005,0.01,0.04854122,0.101007059,12,6.625,4.916666667,3.8125,3.4625,3.208333333,2.863095238,2.633928571,2.475694444,2.383333333,2.331818182,2.267045455,2.195512821,2.181318681,2.157142857,2.132291667,2.130514706,2.111111111,2.130847953,2.109868421,2.044642857,0.176022336
0.05,0.001,0.01,0.002358495,0.003201408,13,7.5,7.333333333,6.25,5.9625,5.291666667,4.660714286,4.223214286,3.815972222,3.480555556,3.197727273,2.946969697,2.740384615,2.550824176,2.395238095,2.254166667,2.127757353,2.009803922,1.907163743,1.813157895,1.727380952,0.14910218
0.05,0.003,0.01,0.001414214,0.003847378,25,19.25,14.875,11.25,8.8625,7.35,6.297619048,5.491071429,4.864583333,4.397222222,4.009090909,3.678030303,3.405448718,3.167582418,2.960714286,2.783333333,2.635110294,2.509803922,2.400584795,2.300657895,2.246428571,0.17891036
0.05,0.005,0.01,0,0.004785374,25,17.25,14.125,10.5,8.3375,6.983333333,6.023809524,5.276785714,4.701388889,4.302777778,3.954545455,3.742424242,3.487179487,3.401098901,3.283333333,3.201041667,3.091911765,2.994281046,2.915204678,2.734868421,2.529761905,0.181374643
0.1,0.001,0.01,0.020835617,0.051660437,6,1.25,0.958333333,0.791666667,0.775,0.733333333,0.696428571,0.665178571,0.684027778,0.636111111,0.634090909,0.598484848,0.584935897,0.556318681,0.528571429,0.501041667,0.487132353,0.464869281,0.455409357,0.449342105,0.435714286,0.317695813
0.1,0.003,0.01,0.027144981,0.055971486,11,4.875,3.916666667,3.333333333,2.975,2.658333333,2.452380952,2.263392857,2.118055556,2.013888889,1.929545455,1.867424242,1.817307692,1.777472527,1.757142857,1.733333333,1.689338235,1.669934641,1.664473684,1.665131579,1.654761905,0.193553208
0.1,0.005,0.01,0.013892444,0.047824113,14,7.375,5.916666667,4.791666667,4.3125,3.891666667,3.589285714,3.357142857,3.263888889,3.144444444,3.018181818,2.96969697,2.947115385,2.964285714,3,2.994791667,3.027573529,3.049019608,3.067982456,3.071710526,3.016666667,0.161347415
0.15,0.001,0.01,0.001922762,0.100480252,4,0.875,0.791666667,0.6875,0.55,0.491666667,0.446428571,0.401785714,0.381944444,0.358333333,0.340909091,0.318181818,0.306089744,0.289835165,0.285714286,0.272916667,0.265625,0.254084967,0.25,0.240789474,0.236309524,0.332094038
0.15,0.003,0.01,0.051134898,0.102343689,10,3.625,2.875,2.458333333,2.175,2.05,2.029761905,1.870535714,1.708333333,1.577777778,1.563636364,1.486742424,1.480769231,1.409340659,1.364285714,1.336458333,1.313419118,1.272875817,1.241959064,1.219736842,1.213095238,0.220886786
0.15,0.005,0.01,0.015342918,0.098435632,11,5.75,4.5,3.625,3.025,2.816666667,2.696428571,2.558035714,2.420138889,2.288888889,2.263636364,2.221590909,2.125,2.071428571,2.053571429,2.027083333,2.034926471,2.022875817,2.009502924,1.991447368,1.989285714,0.173254246
0.05,0.001,0.01,0.003046309,0.003506878,15,9,7.583333333,6.729166667,5.825,5.275,4.75,4.3125,3.96875,3.591666667,3.272727273,3.005681818,2.772435897,2.587912088,2.416666667,2.26875,2.138786765,2.02369281,1.920321637,1.824342105,1.736904762,0.16303703
0.05,0.003,0.01,0.002343031,0.006674188,19,13.375,11.75,9.6875,8.4,7.091666667,6.107142857,5.370535714,4.777777778,4.322222222,3.940909091,3.625,3.358974359,3.127747253,2.936904762,2.775,2.637867647,2.505718954,2.405701754,2.308552632,2.232142857,0.156074975
0.05,0.005,0.01,0.003952847,0.005026954,24,20.25,14.45833333,10.60416667,8.425,7.058333333,6.041666667,5.308035714,4.753472222,4.366666667,4.043181818,3.761363636,3.530448718,3.381868132,3.33452381,3.227083333,3.108455882,3.004084967,2.905701754,2.751315789,2.532142857,0.170399063
0.1,0.001,0.01,0.005020426,0.051758188,5,1.5,1.208333333,1.020833333,0.95,0.85,0.779761905,0.71875,0.690972222,0.627777778,0.593181818,0.549242424,0.528846154,0.5,0.473809524,0.455208333,0.431985294,0.428104575,0.413011696,0.404605263,0.392857143,0.270018047
0.1,0.003,0.01,0.019345788,0.053019006,10,4.25,3.541666667,3.229166667,2.7875,2.566666667,2.386904762,2.232142857,2.121527778,1.983333333,1.945454545,1.886363636,1.814102564,1.758241758,1.698809524,1.661458333,1.634191176,1.592320261,1.553362573,1.528289474,1.518452381,0.18625458
0.1,0.005,0.01,0.005113508,0.049830066,13,6.5,5.583333333,4.770833333,4.1875,3.833333333,3.595238095,3.415178571,3.215277778,3.033333333,2.963636364,2.935606061,2.849358974,2.842032967,2.957142857,2.986458333,3.030330882,3.064542484,3.104532164,3.106578947,3.069047619,0.154682178
0.15,0.001,0.01,0.001473624,0.101823769,4,0.125,0.5,0.395833333,0.4375,0.4,0.380952381,0.366071429,0.347222222,0.333333333,0.311363636,0.304924242,0.290064103,0.281593407,0.276190476,0.271875,0.261029412,0.260620915,0.25,0.249342105,0.241666667,0.388931679
0.15,0.003,0.01,0.029762019,0.100439036,10,3.375,3.375,2.895833333,2.3375,2,1.875,1.745535714,1.638888889,1.561111111,1.479545455,1.424242424,1.371794872,1.320054945,1.285714286,1.264583333,1.236213235,1.214869281,1.185672515,1.183552632,1.170238095,0.222517181
