File name,Search Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer 01 mean,Layer 02 mean,Layer 03 mean,Layer 04 mean,Layer 05 mean,Layer 06 mean,Layer 07 mean,Layer 08 mean,Layer 09 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
rack_2.json,0.12,0.003,0.089700892,0.195775671,223,95.75,94.25,89.45833333,88.125,82.76666667,76.42261905,71.32142857,67.17361111,62.70833333,58.97272727,55.47159091,52.15544872,49.09203297,46.38095238,0,0,0,0,0,0,0.183834327
rack_2.json,0.12,0.005,0.01285496,0.012367812,302,200.125,201.75,184.5625,163.5125,144.5083333,127.3452381,113.75,102.0763889,92.43888889,84.56590909,77.67613636,72.07211538,67.12225275,62.875,0,0,0,0,0,0,0.151273786
rack_3.json,0.08,0.001,0.162659522,0.16227302,157,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811369509
rack_3.json,0.08,0.003,0.157172262,0.157601523,267,124.375,108.7083333,102.0416667,95.65,88.25833333,82.0952381,76.625,71.72569444,67.19722222,63.26136364,59.33522727,55.77564103,0,0,0,0,0,0,0,0,0.211560771
rack_3.json,0.08,0.005,0.030257561,0.030675615,315,189.25,187.0416667,170.875,152.4375,134.8666667,120.1190476,107.4955357,97.21875,88.67222222,81.58636364,75.48863636,70.3525641,66.08928571,0,0,0,0,0,0,0,0.169674736
rack_3.json,0.09,0.001,0.079407934,0.081146546,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_3.json,0.09,0.003,0.169131665,0.168879168,242,102.25,91.16666667,86.0625,79.3,73.975,69.4702381,65.57142857,61.40277778,57.65277778,54.17045455,50.84848485,0,0,0,0,0,0,0,0,0,0.234071908
rack_3.json,0.09,0.005,0.167763286,0.168382793,290,159.625,149.4166667,134.8541667,121.85,109.6666667,97.81547619,88.04464286,79.95486111,72.97777778,66.96136364,61.48863636,0,0,0,0,0,0,0,0,0,0.202421342
rack_3.json,0.1,0.001,0.087736936,0.017502256,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_3.json,0.1,0.003,0.005685068,0.005716162,216,118.125,115.2083333,114.2291667,110.2875,101.45,94,88.45089286,82.00694444,75.78333333,70.43863636,65.45833333,61.1474359,57.45467033,53.9797619,51.003125,48.37132353,46.04575163,43.85233918,0,0,0.133887682
