Radius,Resolution,Distance 1,Distance 2,Highest Vote
0.099,0.0005,0.000419339,,3
0.099,0.001,0.00680343,,5
0.099,0.003,0.002034775,0.017034184,10
0.099,0.005,0.0083605,0.017994411,14
0.01,0.0005,0.000557614,,3
0.01,0.001,0.00040591,,3
0.01,0.003,0.002619474,,3
0.01,0.005,0.006595092,0.111278767,4
0.011,0.0005,0.000897306,,3
0.011,0.001,0.001015129,,3
0.011,0.003,0.003159932,,3
0.011,0.005,0.003007834,0.105004185,3
0.099,0.0005,0.005428386,,4
0.099,0.001,0.003817755,,5
0.099,0.003,0.007668931,0.014604603,12
0.099,0.005,0.003642157,0.014584821,12
0.01,0.0005,0.000368502,,3
0.01,0.001,0.000392461,,3
0.01,0.003,0.00304591,,3
0.01,0.005,0.002985232,,3
0.011,0.0005,0.000794524,,2
0.011,0.001,0.000321353,0.101709871,3
0.011,0.003,0.003503376,,3
0.011,0.005,0.00153527,,3
0.099,0.0005,0.000592869,,3
0.099,0.001,0.007699902,,5
0.099,0.003,0.003616203,0.016761072,11
0.099,0.005,0.015723302,0.019773054,17
0.01,0.0005,0.000676451,,2
0.01,0.001,0.001198724,,3
0.01,0.003,0.002293522,,3
0.01,0.005,0.002784347,0.110003995,3
0.011,0.0005,0.001411085,,3
0.011,0.001,0.000967213,,3
0.011,0.003,0.00428582,,3
0.011,0.005,0.00404351,,3
0.099,0.0005,0.010044288,,4
0.099,0.001,0.002426703,,7
0.099,0.003,0.006403124,0.015107679,11
0.099,0.005,0.00813941,0.017587248,14
0.01,0.0005,0.001032259,,3
0.01,0.001,0.000148078,,3
0.01,0.003,0.001170223,,3
0.01,0.005,0.004164213,,3
0.011,0.0005,0.001057884,,3
0.011,0.001,0.000557668,,3
0.011,0.003,0.003776677,0.113692021,3
0.011,0.005,0.002438608,,3
0.099,0.0005,0.002868202,,4
0.099,0.001,0.005942557,,5
0.099,0.003,0.001793435,0.017050355,10
0.099,0.005,0.004192627,0.017836274,12
0.01,0.0005,0.00065078,,3
0.01,0.001,0.000493178,,3
0.01,0.003,0.002703357,,3
0.01,0.005,0.004079357,,3
0.011,0.0005,0.000742516,,3
0.011,0.001,0.0009293,,3
0.011,0.003,0.001893949,,3
0.011,0.005,0.003486772,0.10633177,3
0.099,0.0005,0.000595177,,3
0.099,0.001,0.005889905,,5
0.099,0.003,0.015116216,0.01534142,13
0.099,0.005,0.01118034,0.017455976,15
0.01,0.0005,0.000447185,,3
0.01,0.001,0.0001351,,3
0.01,0.003,0.002594535,0.100176245,3
0.01,0.005,0.003209406,0.105594613,3
0.011,0.0005,0.000145823,,3
0.011,0.001,0.000906556,0.101092804,3
0.011,0.003,0.002134093,,3
0.011,0.005,0.003911876,0.106641283,3
0.099,0.0005,0.011224989,,4
0.099,0.001,0.003402822,,6
0.099,0.003,0.001857014,0.015218279,10
0.099,0.005,0.01677051,0.017998006,17
0.01,0.0005,0.000456286,,3
0.01,0.001,0.000608723,,3
0.01,0.003,0.002498379,,3
0.01,0.005,0.003222967,0.105669831,3
0.011,0.0005,0.000314982,,3
0.011,0.001,0.001225009,,3
0.011,0.003,0.004501432,,3
0.011,0.005,0.003320856,0.1059375,3
0.099,0.0005,0.003808698,,4
0.099,0.001,0.007539306,,5
0.099,0.003,0.001802776,0.014356175,12
0.099,0.005,0.013017083,0.018246251,15
0.01,0.0005,0.000969615,,3
0.01,0.001,0.000945213,,3
0.01,0.003,0.002028764,,3
0.01,0.005,0.003220635,,3
0.011,0.0005,0.000772405,,3
0.011,0.001,0.000221301,0.103711137,3
0.011,0.003,0.004704493,,3
0.011,0.005,0.00306244,0.105403336,3
0.099,0.0005,0.000400807,,3
0.099,0.001,0.006960679,,5
0.099,0.003,0.002111111,0.01689533,10
0.099,0.005,0.001631785,0.018613035,13
0.01,0.0005,0.000929405,,3
0.01,0.001,0.001200962,,3
0.01,0.003,0.005502781,,3
0.01,0.005,0.003838642,0.105568124,3
0.011,0.0005,0.000350892,,3
0.011,0.001,0.000570745,,3
0.011,0.003,0.000370548,0.10275639,3
0.011,0.005,0.002232725,,3
0.099,0.0005,0.00053338,,3
0.099,0.001,0.013013778,,5
0.099,0.003,0.013975425,0.013442536,12
0.099,0.005,0.003605551,0.015445617,14
0.01,0.0005,0.000329114,,3
0.01,0.001,0.000639288,,3
0.01,0.003,0.001310395,,3
0.01,0.005,0.004384758,,3
0.011,0.0005,0.000793333,,3
0.011,0.001,0.000265576,,3
0.011,0.003,0.002926927,,3
0.011,0.005,0.003775509,,3
