Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.15,0.005,0.01,0.008825676,0.050452203,12,4.875,4.083333333,3.416666667,3,2.716666667,2.505952381,2.433035714,2.357638889,2.283333333,2.170454545,2.121212121,2.128205128,2.145604396,2.102380952,2.059375,2.048713235,2.007352941,2,2.013157895,1.97797619,0.192165849
0.05,0.001,0.01,0.000536004,0.054212914,4,1.375,1,0.979166667,0.8375,0.725,0.678571429,0.625,0.618055556,0.6,0.568181818,0.537878788,0.509615385,0.483516484,0.458333333,0.432291667,0.409926471,0.401143791,0.402046784,0.403947368,0.394047619,0.2433205
0.05,0.003,0.01,0.005946452,0.057625654,6,2.625,2.291666667,1.833333333,1.5875,1.425,1.31547619,1.254464286,1.170138889,1.086111111,1.056818182,1.018939394,0.977564103,0.934065934,0.903571429,0.889583333,0.877757353,0.847222222,0.831871345,0.820394737,0.813690476,0.196333993
0.05,0.005,0.01,0.022114758,0.061495952,8,3.75,2.666666667,2.208333333,1.9625,1.758333333,1.589285714,1.508928571,1.479166667,1.425,1.356818182,1.314393939,1.28525641,1.292582418,1.314285714,1.323958333,1.340992647,1.348856209,1.317982456,1.267763158,1.245833333,0.196285604
0.1,0.001,0.01,0.002278175,0.002283451,9,5.25,4.5,3.833333333,3.325,2.991666667,2.714285714,2.450892857,2.21875,2.005555556,1.843181818,1.685606061,1.573717949,1.465659341,1.357142857,1.285416667,1.207720588,1.139705882,1.084795322,1.030263158,0.983333333,0.169984426
0.1,0.003,0.01,0.004123106,0.003754138,23,13.375,12.20833333,9.791666667,7.95,6.65,5.702380952,4.946428571,4.388888889,3.963888889,3.606818182,3.291666667,3.036858974,2.818681319,2.636904762,2.478125,2.337316176,2.201797386,2.085526316,1.9875,1.897619048,0.191100688
0.1,0.005,0.01,0.003333333,0.004450955,27,20.5,15.20833333,11.33333333,9.025,7.458333333,6.351190476,5.53125,4.930555556,4.427777778,4.045454545,3.714015152,3.434294872,3.190934066,2.976190476,2.796875,2.637867647,2.506535948,2.381578947,2.282894737,2.1875,0.187604335
0.15,0.001,0.01,0.004238732,0.053423102,4,0.25,0.541666667,0.520833333,0.4625,0.425,0.375,0.361607143,0.354166667,0.319444444,0.318181818,0.293560606,0.28525641,0.29532967,0.282142857,0.290625,0.276654412,0.272058824,0.262426901,0.253947368,0.247619048,0.374250756
0.15,0.003,0.01,0.00652538,0.051360312,9,3.75,2.958333333,2.875,2.475,2.15,1.952380952,1.803571429,1.701388889,1.652777778,1.529545455,1.452651515,1.461538462,1.398351648,1.364285714,1.316666667,1.261029412,1.234477124,1.19371345,1.157236842,1.129166667,0.200816138
0.15,0.005,0.01,0.035846897,0.050092635,12,5.625,4.375,3.6875,3.1875,2.875,2.68452381,2.5625,2.458333333,2.352777778,2.256818182,2.240530303,2.203525641,2.190934066,2.111904762,2.079166667,2.044117647,1.998366013,1.967836257,1.971710526,1.952380952,0.185112552
0.05,0.001,0.01,0.007218159,0.056158946,5,1.625,1.125,1.104166667,0.95,0.825,0.720238095,0.660714286,0.618055556,0.591666667,0.552272727,0.522727273,0.487179487,0.467032967,0.445238095,0.423958333,0.405330882,0.391339869,0.386695906,0.374342105,0.36547619,0.277139816
0.05,0.003,0.01,0.008383834,0.053372325,6,2.5,2.041666667,1.645833333,1.5,1.366666667,1.238095238,1.183035714,1.121527778,1.033333333,0.972727273,0.954545455,0.924679487,0.898351648,0.882142857,0.865625,0.865808824,0.857843137,0.850146199,0.858552632,0.860714286,0.203933916
0.05,0.005,0.01,0.009434556,0.051337662,7,2.875,2.208333333,1.916666667,1.6625,1.516666667,1.392857143,1.388392857,1.326388889,1.330555556,1.327272727,1.354166667,1.352564103,1.347527473,1.345238095,1.340625,1.370404412,1.360294118,1.349415205,1.325657895,1.3,0.187213195
0.1,0.001,0.01,0.001179248,0.003577024,7,3.5,3.208333333,2.958333333,2.85,2.641666667,2.369047619,2.267857143,2.055555556,1.913888889,1.788636364,1.653409091,1.548076923,1.442307692,1.346428571,1.269791667,1.204963235,1.131535948,1.078216374,1.030263158,0.976785714,0.154747097
0.1,0.003,0.01,0.002236068,0.001948294,25,16,12.54166667,9.9375,8.025,6.616666667,5.654761905,4.977678571,4.392361111,3.966666667,3.597727273,3.301136364,3.043269231,2.824175824,2.641666667,2.471875,2.329044118,2.205065359,2.092836257,1.990131579,1.897619048,0.199192318
0.1,0.005,0.01,0.007071068,0.006788982,29,18.875,14.83333333,11.20833333,8.875,7.375,6.30952381,5.517857143,4.909722222,4.402777778,4.022727273,3.696969697,3.415064103,3.18956044,2.977380952,2.792708333,2.635110294,2.499183007,2.378654971,2.291447368,2.19047619,0.202237401
0.15,0.001,0.01,0.026003218,0.056135405,4,0.375,0.541666667,0.4375,0.475,0.458333333,0.422619048,0.415178571,0.378472222,0.352777778,0.347727273,0.34280303,0.318910256,0.315934066,0.301190476,0.290625,0.276654412,0.266339869,0.263157895,0.257236842,0.251785714,0.360720676
