Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.099,0.0005,0.002656052,0.011813975,4,1,1,1.111111111,1.15,1.125,1.108108108,1.117647059,1.096774194,1.113924051
0.099,0.001,0.002061553,0.002198835,8,3.5,3.47826087,3.413043478,3.220779221,3.094017094,2.85,2.666666667,2.511627907,2.346153846
0.099,0.003,0.001414214,0.001983692,23,14.875,12.875,10.14583333,8.325,7.016666667,6.102409639,5.34841629,4.762411348,4.32
0.099,0.005,0.003333333,0.000481935,24,16.625,13.875,10.875,8.7125,7.316666667,6.25,5.509009009,4.898245614,4.418539326
0.01,0.0005,0.00057755,0.09227243,3,1.5,1.2,1.130434783,1.1,1.078947368,1.0625,1.054545455,1.045454545,1.040540541
0.01,0.001,0.000504529,0.094085068,3,1.5,1.230769231,1.142857143,1.1,1.081081081,1.090909091,1.094339623,1.081967213,1.093333333
0.01,0.003,0.002114771,0.103588609,3,1.714285714,1.333333333,1.322580645,1.346938776,1.344262295,1.31884058,1.3,1.276595745,1.277777778
0.01,0.005,0.003462984,0.095834348,3,1.714285714,1.526315789,1.448275862,1.514285714,1.488888889,1.537037037,1.5,1.472222222,1.4625
0.011,0.0005,0.001047536,0.105702412,3,1.333333333,1.363636364,1.277777778,1.24,1.21875,1.179487179,1.173913043,1.145454545,1.123076923
0.011,0.001,0.001473551,0.094048728,3,1.375,1.176470588,1.178571429,1.179487179,1.18,1.14516129,1.123287671,1.109756098,1.106382979
0.011,0.003,0.002433567,0.089695606,3,1.428571429,1.333333333,1.294117647,1.258064516,1.448979592,1.393939394,1.350649351,1.32183908,1.31372549
0.011,0.005,0.004145749,0.09566899,3,1.5,1.473684211,1.481481481,1.378378378,1.454545455,1.436363636,1.461538462,1.453333333,1.445783133
0.099,0.0005,0.003192952,0.001702765,4,1.5,1.5625,1.5,1.5,1.493506494,1.495238095,1.503703704,1.476470588,1.463768116
0.099,0.001,0.002,0.00199347,10,4,4.166666667,3.695652174,3.426666667,3.162162162,2.863636364,2.617647059,2.515873016,2.382059801
0.099,0.003,0.002692582,0.003892911,22,14.625,12.58333333,10.27083333,8.3375,6.991666667,6.011904762,5.325791855,4.73943662,4.25915493
0.099,0.005,0.007071068,0.007021507,28,15.375,12.70833333,10.60416667,8.6625,7.2,6.220238095,5.4375,4.86013986,4.386554622
0.01,0.0005,0.001283946,0.091234455,3,1.285714286,1.117647059,1.074074074,1.054054054,1.043478261,1.037037037,1.032258065,1.028985507,1.025974026
0.01,0.001,0.001088493,0.092775304,3,1.285714286,1.142857143,1.086956522,1.066666667,1.048780488,1.037735849,1.03030303,1.025641026,1.034090909
0.01,0.003,0.000439246,0.096450051,3,1.833333333,1.533333333,1.392857143,1.4,1.366666667,1.391304348,1.367088608,1.333333333,1.316831683
0.01,0.005,0.005192671,0.100225371,4,2,1.619047619,1.571428571,1.529411765,1.476190476,1.442307692,1.435483871,1.457142857,1.448717949
0.011,0.0005,0.001026434,0.103623851,3,1.166666667,1.083333333,1.045454545,1.034482759,1.027027027,1.022222222,1.018181818,1.03030303,1.025316456
0.011,0.001,0.000672766,0.090975125,3,1.428571429,1.25,1.208333333,1.1875,1.146341463,1.12244898,1.105263158,1.095890411,1.102272727
0.011,0.003,0.00249693,0.090401144,3,1.428571429,1.266666667,1.318181818,1.277777778,1.423076923,1.391304348,1.371794872,1.372340426,1.336448598
0.011,0.005,0.003880506,0.099901099,3,1.571428571,1.5,1.481481481,1.378378378,1.488372093,1.471698113,1.46031746,1.5,1.4625
0.099,0.0005,0.001142111,0.00424323,4,1.2,1.357142857,1.586206897,1.468085106,1.424242424,1.465909091,1.465517241,1.438356164,1.418604651
0.099,0.001,0.001013794,0.001505453,9,3.666666667,3.681818182,3.511111111,3.4,3.203539823,2.891025641,2.658291457,2.513944223,2.362745098
0.099,0.003,0.003162278,0.004167218,19,14.125,12.20833333,10.20833333,8.3875,7.025,6.023809524,5.34841629,4.793594306,4.364942529
0.099,0.005,0.005,0.00465697,30,18.875,14.54166667,11.02083333,8.825,7.366666667,6.303571429,5.491071429,4.892361111,4.421787709
0.01,0.0005,0.000403297,0.095569655,3,1.5,1.2,1.130434783,1.096774194,1.075,1.0625,1.052631579,1.045454545,1.04109589
0.01,0.001,0.000921587,0.089658767,3,1.285714286,1.153846154,1.090909091,1.0625,1.097560976,1.076923077,1.063492063,1.054054054,1.05952381
0.01,0.003,0.000718211,0.093204241,3,1.833333333,1.615384615,1.391304348,1.405405405,1.433962264,1.405797101,1.353658537,1.336956522,1.320754717
0.01,0.005,0.004946976,0.096205698,3,1.75,1.7,1.580645161,1.512820513,1.456521739,1.452830189,1.444444444,1.513888889,1.56097561
0.011,0.0005,0.000942277,0.094830961,3,1.333333333,1.133333333,1.095238095,1.068965517,1.054054054,1.046511628,1.039215686,1.033898305,1.030769231
0.011,0.001,0.001096609,0.105355356,3,1.5,1.277777778,1.185185185,1.138888889,1.113636364,1.096153846,1.086206897,1.075757576,1.067567568
0.011,0.003,0.001733998,0.089560036,3,1.285714286,1.2,1.178571429,1.209302326,1.216666667,1.272727273,1.230769231,1.242718447,1.230088496
0.011,0.005,0.003225422,0.095834348,3,1.714285714,1.526315789,1.464285714,1.470588235,1.441860465,1.471698113,1.532258065,1.527777778,1.518518519
0.099,0.0005,0.004336371,0.002377471,4,2.25,1.923076923,1.84,1.704545455,1.602941176,1.584269663,1.516949153,1.445205479,1.405263158
0.099,0.001,0.001769601,0.004105466,8,4.125,3.625,3.545454545,3.4,3.130841121,2.87755102,2.723958333,2.578512397,2.397993311
0.099,0.003,0,0.001881597,23,17,13.45833333,10.54166667,8.607594937,7.134453782,6.181818182,5.401826484,4.828571429,4.4
0.099,0.005,0.003365728,0.004352384,22,18,14.54166667,10.89583333,8.8,7.341666667,6.226190476,5.455357143,4.884615385,4.439093484
