Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.002134375,0.003109414,14,7.75,6.958333333,6.270833333,5.8125,5.15,4.678571429,4.223214286,3.847222222,3.525,3.227272727,2.984848485,2.77724359,2.59478022,2.423809524,2.276041667,2.142463235,2.022875817,1.921052632,1.825,1.738690476,0.158820638
0.05,0.001,0.03,0.006577067,0.013127729,8,3.875,3.416666667,2.875,2.425,2.125,1.928571429,1.821428571,1.763888889,1.730555556,1.690909091,1.672348485,1.628205128,1.600274725,1.561904762,1.525,1.497242647,1.464052288,1.438596491,1.431578947,1.398214286,0.17068692
0.05,0.003,0.01,0.00210926,0.001975128,21,16,13.66666667,10.85416667,8.725,7.275,6.25,5.450892857,4.840277778,4.361111111,3.977272727,3.649621212,3.363782051,3.135989011,2.941666667,2.76875,2.636948529,2.506535948,2.390350877,2.286184211,2.205357143,0.161184385
0.05,0.003,0.03,0.008003905,0.01029162,13,7.5,7.291666667,6.979166667,6.3625,5.983333333,5.44047619,4.901785714,4.447916667,4.075,3.752272727,3.482954545,3.253205128,3.049450549,2.880952381,2.721875,2.597426471,2.485294118,2.375,2.286184211,2.203571429,0.133923929
0.05,0.005,0.01,0.006009252,0.00477924,24,17.625,14.125,10.35416667,8.3875,6.975,5.970238095,5.258928571,4.711805556,4.377777778,4.018181818,3.753787879,3.496794872,3.357142857,3.296428571,3.202083333,3.079044118,2.999183007,2.894005848,2.738815789,2.530952381,0.174988542
0.05,0.005,0.03,0.007905694,0.006757304,18,12.875,11.29166667,9.708333333,8.15,6.916666667,5.928571429,5.236607143,4.784722222,4.358333333,4.031818182,3.801136364,3.594551282,3.502747253,3.355952381,3.201041667,3.092830882,2.983660131,2.845760234,2.667763158,2.489285714,0.146560174
0.09,0.001,0.01,0.013067171,0.044270786,6,1.75,1.416666667,1.208333333,1.0625,0.95,0.94047619,0.879464286,0.8125,0.747222222,0.702272727,0.678030303,0.65224359,0.630494505,0.61547619,0.608333333,0.590992647,0.572712418,0.562865497,0.547368421,0.529166667,0.267175856
0.09,0.001,0.03,0.005513813,0.040792156,5,0.75,0.625,0.5625,0.5125,0.558333333,0.56547619,0.633928571,0.618055556,0.594444444,0.595454545,0.585227273,0.551282051,0.537087912,0.535714286,0.519791667,0.511948529,0.504901961,0.492690058,0.488157895,0.480952381,0.308195916
0.09,0.003,0.01,0.006020797,0.03984663,10,4.75,3.75,3.104166667,2.9625,2.75,2.571428571,2.352678571,2.284722222,2.177777778,2.059090909,1.971590909,1.899038462,1.828296703,1.792857143,1.75,1.693933824,1.666666667,1.673976608,1.728947368,1.752380952,0.176928354
0.09,0.003,0.03,0.016979317,0.052339188,9,4.875,3.625,3.083333333,2.8,2.65,2.482142857,2.325892857,2.270833333,2.166666667,2.102272727,2.058712121,2.003205128,1.923076923,1.88452381,1.876041667,1.824448529,1.833333333,1.81871345,1.811842105,1.786904762,0.160136811
