Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.1,0.005,0.03,0.01,0.010833333,19,10.375,10.375,9.5625,8.6375,7.516666667,6.541666667,5.741071429,5.149305556,4.633333333,4.225,3.869318182,3.567307692,3.317307692,3.10952381,2.932291667,2.771139706,2.638888889,2.513157895,2.421052632,2.320238095,0.156743342
0.11,0.001,0.01,0.007858313,0.024269403,6,1.25,1.291666667,1.145833333,0.9875,0.908333333,0.910714286,0.875,0.795138889,0.738888889,0.704545455,0.659090909,0.629807692,0.607142857,0.58452381,0.5625,0.568933824,0.552287582,0.541666667,0.535526316,0.517261905,0.280815231
0.11,0.001,0.03,0.015813231,0.020146167,5,0.875,1.25,1.25,1.0375,0.925,0.863095238,0.799107143,0.725694444,0.680555556,0.659090909,0.632575758,0.604166667,0.571428571,0.554761905,0.528125,0.520220588,0.504901961,0.504385965,0.493421053,0.483333333,0.256906097
0.11,0.003,0.01,0.003417601,0.02215468,11,7.25,5,4.333333333,3.675,3.308333333,3.011904762,2.821428571,2.711805556,2.677777778,2.647727273,2.640151515,2.639423077,2.616758242,2.551190476,2.422916667,2.324448529,2.241013072,2.14254386,2.048684211,1.972619048,0.152699182
0.11,0.003,0.03,0.02086198,0.030948793,10,5.625,4.833333333,4.3125,3.7875,3.35,3.160714286,3.102678571,2.850694444,2.691666667,2.559090909,2.445075758,2.405448718,2.332417582,2.242857143,2.204166667,2.149816176,2.077614379,2.019005848,1.961184211,1.899404762,0.147036834
0.11,0.005,0.01,0.010618621,0.018028947,15,9,6.666666667,5.625,4.9125,4.608333333,4.857142857,4.772321429,4.489583333,4.138888889,3.859090909,3.609848485,3.391025641,3.174450549,2.988095238,2.820833333,2.686580882,2.556372549,2.435672515,2.333552632,2.246428571,0.155969924
0.11,0.005,0.03,0.017392527,0.034353655,12,6,5.416666667,4.875,4.5125,4.433333333,4.214285714,3.928571429,3.78125,3.536111111,3.365909091,3.223484848,3.129807692,3.010989011,2.864285714,2.71875,2.579044118,2.468954248,2.39619883,2.314473684,2.245238095,0.144552444
0.15,0.001,0.01,0.00192126,0.067401023,4,0.375,0.625,0.458333333,0.35,0.383333333,0.351190476,0.379464286,0.371527778,0.358333333,0.347727273,0.331439394,0.336538462,0.315934066,0.302380952,0.285416667,0.270220588,0.259803922,0.249269006,0.243421053,0.235119048,0.36936307
0.15,0.001,0.03,0.00579477,0.052886671,4,0,0.291666667,0.208333333,0.1875,0.175,0.160714286,0.169642857,0.152777778,0.161111111,0.172727273,0.179924242,0.179487179,0.186813187,0.183333333,0.189583333,0.189338235,0.192810458,0.196637427,0.204605263,0.204761905,0.52723374
0.15,0.003,0.01,0.007004694,0.063134776,8,3.875,2.958333333,2.583333333,2.3375,2.108333333,1.982142857,1.839285714,1.715277778,1.622222222,1.527272727,1.471590909,1.384615385,1.342032967,1.319047619,1.258333333,1.207720588,1.170751634,1.152777778,1.126315789,1.111904762,0.185641588
0.15,0.003,0.03,0.029229039,0.06796457,8,3.75,2.833333333,2.3125,2.1875,2.133333333,1.970238095,1.808035714,1.6875,1.566666667,1.484090909,1.439393939,1.395833333,1.337912088,1.297619048,1.254166667,1.204963235,1.171568627,1.144736842,1.110526316,1.071428571,0.18974726
0.15,0.005,0.01,0.004539809,0.059460717,10,5.25,4.5,3.708333333,3.1875,2.9,2.708333333,2.504464286,2.322916667,2.227777778,2.15,2.060606061,1.971153846,1.921703297,1.864285714,1.830208333,1.819852941,1.861111111,1.876461988,1.869736842,1.86547619,0.165563128
0.15,0.005,0.03,0.013619464,0.063796745,9,4.5,4.208333333,3.583333333,3.2625,2.891666667,2.589285714,2.40625,2.295138889,2.180555556,2.090909091,1.979166667,1.958333333,1.875,1.805952381,1.767708333,1.730698529,1.730392157,1.714181287,1.732894737,1.763095238,0.157713794
0.05,0.001,0.01,0.001482444,0.044643029,4,1.875,1.666666667,1.291666667,1.075,0.991666667,0.916666667,0.870535714,0.798611111,0.747222222,0.727272727,0.683712121,0.644230769,0.605769231,0.567857143,0.535416667,0.524816176,0.503267974,0.480263158,0.464473684,0.448214286,0.195902411
0.05,0.001,0.03,0.002720777,0.052209009,4,1.25,0.791666667,0.8125,0.8375,0.741666667,0.672619048,0.620535714,0.572916667,0.588888889,0.547727273,0.518939394,0.522435897,0.505494505,0.485714286,0.478125,0.472426471,0.461601307,0.445906433,0.4375,0.433333333,0.246951727
0.05,0.003,0.01,0.014000794,0.04761719,7,3.875,2.583333333,2.020833333,1.7125,1.666666667,1.511904762,1.388392857,1.28125,1.219444444,1.175,1.123106061,1.075320513,1.046703297,1.027380952,1.016666667,1.008272059,1.007352941,1.006578947,1.003947368,0.995833333,0.195828914
0.05,0.003,0.03,0.046010868,0.045963139,9,3.625,2.458333333,2.270833333,1.975,1.8,1.702380952,1.558035714,1.458333333,1.366666667,1.3,1.270833333,1.213141026,1.15521978,1.114285714,1.067708333,1.033088235,1.017156863,1.005116959,1.000657895,1.014880952,0.228387718
0.05,0.005,0.01,0.00969352,0.044778841,8,3.875,3.291666667,2.666666667,2.2625,2.05,1.916666667,1.785714286,1.65625,1.619444444,1.584090909,1.53030303,1.532051282,1.552197802,1.566666667,1.60625,1.617647059,1.64624183,1.644005848,1.600657895,1.548214286,0.171849965
0.05,0.005,0.03,0.011791124,0.043089845,8,3.75,2.833333333,2.395833333,2.225,1.983333333,1.791666667,1.732142857,1.697916667,1.691666667,1.636363636,1.590909091,1.59775641,1.618131868,1.638095238,1.642708333,1.637867647,1.638071895,1.624269006,1.582894737,1.542857143,0.174478894
0.09,0.001,0.01,0.001054093,0.004803485,9,3.25,3.375,3.0625,2.675,2.441666667,2.327380952,2.241071429,2.138888889,2.036111111,1.915909091,1.799242424,1.6875,1.568681319,1.473809524,1.3875,1.307904412,1.246732026,1.178362573,1.124342105,1.079761905,0.186268438
0.09,0.001,0.03,0.006146363,0.012750613,8,1,1.083333333,1.0625,1.0375,1.066666667,1.047619048,1.066964286,1.055555556,1.055555556,1.036363636,1,0.995192308,1.005494505,1.028571429,1.00625,1.003676471,0.992647059,0.984649123,0.955921053,0.926190476,0.281584542
