lower_seed_won,seed_diff,season,round,days_from_epoch,game_date,day,win_seed,win_region,win_market,win_name,win_alias,win_team_id,win_school_ncaa,win_code_ncaa,win_pts,win_CONF,win_YEAR,win_G,win_W,win_ADJOE,win_ADJDE,win_BARTHAG,win_EFG_O,win_EFG_D,win_TOR,win_TORD,win_ORB,win_DRB,win_FTR,win_FTRD,win_2P_O,win_2P_D,win_3P_O,win_3P_D,win_ADJ_T,win_WAB,lose_seed,lose_region,lose_market,lose_name,lose_alias,lose_team_id,lose_school_ncaa,lose_code_ncaa,lose_pts,num_ot,academic_year,key
1,7,2015,64,16514,3/20/15,Friday,5,W,Northern Iowa,Panthers,UNI,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,UNI,504,71,MVC,2015,35,31,115.4,93,0.9228,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,58.5,5.3,12,W,Wyoming,Cowboys,WYO,a7127c0a-a466-47ae-91ad-9a71ee2c9427,Wyoming,811,54,0,2014,Wyoming.2015
0,0,2015,68,16511,3/17/15,Tuesday,16,Y,Hampton,Pirates,HAMP,161354af-1f3e-4d58-88f7-e016ec74b7b6,Hampton,270,74,MEAC,2015,35,17,94.8,102.3,0.2939,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,-12.6,16,Y,Manhattan,Jaspers,MAN,7a270923-01d6-4a6f-a93e-e8786266d502,Manhattan,381,64,0,2014,Manhattan.2015
1,7,2015,64,16513,3/19/15,Thursday,5,Z,Arkansas,Razorbacks,ARK,c70c23c4-ab09-4797-a1af-792c848ab17f,Arkansas,31,56,SEC,2015,36,27,113.2,96,0.8696,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,3.9,12,Z,Wofford,Terriers,WOF,9916713f-b243-452b-93ae-a2c3ccabf68b,Wofford,2915,53,0,2014,Wofford.2015
0,0,2015,68,16511,3/17/15,Tuesday,11,Z,Ole Miss,Rebels,MISS,d7d668ec-edaa-4d6b-be25-2ebba4128643,Ole Miss,433,94,SEC,2015,34,21,112.2,99.2,0.8037,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,66.6,-0.5,11,Z,BYU,Cougars,BYU,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,BYU,77,90,0,2014,BYU.2015
1,3,2015,64,16514,3/20/15,Friday,7,Y,Wichita State,Shockers,WICH,f38b58de-3273-4723-a78b-2f918e9aa2d5,Wichita St.,782,81,MVC,2015,34,29,114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,10,Y,Indiana,Hoosiers,IND,c3f0a8ce-af67-497f-a750-3b859376b20a,Indiana,306,76,0,2014,Indiana.2015
0,5,2015,32,16516,3/22/15,Sunday,7,Y,Wichita State,Shockers,WICH,f38b58de-3273-4723-a78b-2f918e9aa2d5,Wichita St.,782,78,MVC,2015,34,29,114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,2,Y,Kansas,Jayhawks,KU,fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,328,65,0,2014,Kansas.2015
1,11,2015,64,16514,3/20/15,Friday,3,W,Oklahoma,Sooners,OKLA,b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,522,69,B12,2015,35,24,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,14,W,Albany,Great Danes,ALBY,290a5130-836d-45e6-824f-28704d6ba246,Albany (NY),14,60,0,2014,Albany (NY).2015
1,8,2015,32,16516,3/22/15,Sunday,3,W,Oklahoma,Sooners,OKLA,b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,522,72,B12,2015,35,24,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,11,W,Dayton,Flyers,DAY,632616c5-2dbb-4017-a449-c9dfc303f026,Dayton,175,66,0,2014,Dayton.2015
1,3,2015,64,16514,3/20/15,Friday,7,W,Michigan State,Spartans,MSU,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan St.,416,70,B10,2015,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,10,W,Georgia,Bulldogs,UGA,4f4b0771-994c-4126-822d-7525aaa00f65,Georgia,257,63,0,2014,Georgia.2015
0,5,2015,32,16516,3/22/15,Sunday,7,W,Michigan State,Spartans,MSU,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan St.,416,60,B10,2015,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,2,W,Virginia,Cavaliers,UVA,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,746,54,0,2014,Virginia.2015
0,4,2015,16,16521,3/27/15,Friday,7,W,Michigan State,Spartans,MSU,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan St.,416,62,B10,2015,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,3,W,Oklahoma,Sooners,OKLA,b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,522,58,0,2014,Oklahoma.2015
0,3,2015,8,16523,3/29/15,Sunday,7,W,Michigan State,Spartans,MSU,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan St.,416,76,B10,2015,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,4,W,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367,70,1,2014,Louisville.2015
1,9,2015,64,16513,3/19/15,Thursday,4,Z,North Carolina,Tar Heels,UNC,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,North Carolina,457,67,ACC,2015,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,13,Z,Harvard,Crimson,HARV,5c7bf63f-bc39-43c5-9907-73b50b7a6b34,Harvard,275,65,0,2014,Harvard.2015
1,1,2015,32,16515,3/21/15,Saturday,4,Z,North Carolina,Tar Heels,UNC,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,North Carolina,457,87,ACC,2015,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,5,Z,Arkansas,Razorbacks,ARK,c70c23c4-ab09-4797-a1af-792c848ab17f,Arkansas,31,78,0,2014,Arkansas.2015
1,9,2015,64,16514,3/20/15,Friday,4,Y,Maryland,Terrapins,MD,2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,392,65,B10,2015,35,28,110.2,94,0.8619,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,48,44.1,37.6,31.8,64.5,6.9,13,Y,Valparaiso,Crusaders,VALP,df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,735,62,0,2014,Valparaiso.2015
1,7,2015,64,16513,3/19/15,Thursday,5,X,Utah,Utes,UTAH,0d037a5d-827a-44dd-8b70-57603d671d5d,Utah,732,57,P12,2015,34,25,114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,12,X,Stephen F. Austin,Lumberjacks,SFA,5ef64f01-86ae-4553-9834-c79cc0859eaf,SFA,676,50,0,2014,SFA.2015
0,1,2015,32,16515,3/21/15,Saturday,5,X,Utah,Utes,UTAH,0d037a5d-827a-44dd-8b70-57603d671d5d,Utah,732,75,P12,2015,34,25,114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,4,X,Georgetown,Hoyas,GTWN,8736b67f-5924-400b-bf94-3bd804c36600,Georgetown,251,64,0,2014,Georgetown.2015
1,13,2015,64,16513,3/19/15,Thursday,2,Z,Arizona,Wildcats,ARIZ,9b166a3f-e64b-4825-bb6b-92c6f0418263,Arizona,29,93,P12,2015,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,15,Z,Texas Southern,Tigers,TXSO,eb157f98-0697-459c-9293-ddb162ceb28b,Texas Southern,699,72,0,2014,Texas Southern.2015
1,15,2015,64,16513,3/19/15,Thursday,1,Y,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,79,SEC,2015,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,16,Y,Hampton,Pirates,HAMP,161354af-1f3e-4d58-88f7-e016ec74b7b6,Hampton,270,56,0,2014,Hampton.2015
1,15,2015,64,16513,3/19/15,Thursday,1,W,Villanova,Wildcats,VILL,4383eb6a-7fd8-4ff2-94c5-43c933121e88,Villanova,739,93,BE,2015,36,33,121.9,91.1,0.9663,55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,53,45.3,38.9,30.5,64.7,11.3,16,W,Lafayette,Leopards,LAF,6af02334-9ac3-452f-bcf4-20abdb72bd07,Lafayette,342,52,0,2014,Lafayette.2015
1,8,2015,32,16515,3/21/15,Saturday,2,Z,Arizona,Wildcats,ARIZ,9b166a3f-e64b-4825-bb6b-92c6f0418263,Arizona,29,73,P12,2015,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,10,Z,Ohio State,Buckeyes,OSU,857462b3-0ab6-4d26-9669-10ca354e382b,Ohio St.,518,58,0,2014,Ohio St..2015
1,7,2015,32,16515,3/21/15,Saturday,1,Y,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,64,SEC,2015,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,8,Y,Cincinnati,Bearcats,CIN,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,Cincinnati,140,51,0,2014,Cincinnati.2015
1,4,2015,16,16520,3/26/15,Thursday,2,Z,Arizona,Wildcats,ARIZ,9b166a3f-e64b-4825-bb6b-92c6f0418263,Arizona,29,68,P12,2015,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,6,Z,Xavier,Musketeers,XAV,0d8a328f-20ce-410b-bed1-15fc01308aaf,Xavier,812,60,0,2014,Xavier.2015
1,4,2015,16,16520,3/26/15,Thursday,1,Y,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,78,SEC,2015,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,5,Y,West Virginia,Mountaineers,WVU,f770d3a2-221c-49ce-9c7a-680f7417fe9e,West Virginia,768,39,0,2014,West Virginia.2015
1,2,2015,8,16522,3/28/15,Saturday,1,Y,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,68,SEC,2015,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,3,Y,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,66,0,2014,Notre Dame.2015
1,1,2015,64,16513,3/19/15,Thursday,8,W,North Carolina State,Wolfpack,NCST,52df1e19-b142-4a76-a439-ad68455d0581,NC State,490,66,ACC,2015,36,22,114.1,96.8,0.8684,49.3,45.5,16,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33,64.7,1.1,9,W,LSU,Tigers,LSU,70e2bedd-3a0a-479c-ac99-e3f58aa6824b,LSU,365,65,0,2014,LSU.2015
0,7,2015,32,16515,3/21/15,Saturday,8,W,North Carolina State,Wolfpack,NCST,52df1e19-b142-4a76-a439-ad68455d0581,NC State,490,71,ACC,2015,36,22,114.1,96.8,0.8684,49.3,45.5,16,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33,64.7,1.1,1,W,Villanova,Wildcats,VILL,4383eb6a-7fd8-4ff2-94c5-43c933121e88,Villanova,739,68,0,2014,Villanova.2015
1,11,2016,64,16878,3/18/16,Friday,3,Z,Texas A&M,Aggies,TXAM,ef184799-d79b-49d9-a662-991eaf4044cd,Texas A&M,697,92,SEC,2016,37,28,113,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,14,Z,Green Bay,Phoenix,GB,61a3e5ab-1be3-4694-b83f-edae0953f409,Green Bay,794,65,0,2015,Green Bay.2016
1,8,2016,32,16880,3/20/16,Sunday,3,Z,Texas A&M,Aggies,TXAM,ef184799-d79b-49d9-a662-991eaf4044cd,Texas A&M,697,92,SEC,2016,37,28,113,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,11,Z,Northern Iowa,Panthers,UNI,2c93a75d-5449-4ec1-9ca2-1e6c812399a4,UNI,504,88,2,2015,UNI.2016
1,3,2016,64,16878,3/18/16,Friday,7,W,Wisconsin,Badgers,WIS,c7569eae-5b93-4197-b204-6f3a62146b25,Wisconsin,796,47,B10,2016,35,22,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,64.1,0.4,10,W,Pittsburgh,Panthers,PITT,24051034-96bb-4f78-a3a6-312f3258780f,Pittsburgh,545,43,0,2015,Pittsburgh.2016
0,5,2016,32,16880,3/20/16,Sunday,7,W,Wisconsin,Badgers,WIS,c7569eae-5b93-4197-b204-6f3a62146b25,Wisconsin,796,66,B10,2016,35,22,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,64.1,0.4,2,W,Xavier,Musketeers,XAV,0d8a328f-20ce-410b-bed1-15fc01308aaf,Xavier,812,63,0,2015,Xavier.2016
1,9,2016,64,16877,3/17/16,Thursday,4,Z,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193,93,ACC,2016,36,25,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,68.7,4.2,13,Z,North Carolina-Wilmington,Seahawks,UNCW,c54279f9-3028-4663-893a-7d22482f8098,UNCW,460,85,0,2015,UNCW.2016
1,8,2016,32,16879,3/19/16,Saturday,4,Z,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193,71,ACC,2016,36,25,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,68.7,4.2,12,Z,Yale,Bulldogs,YALE,ca478771-aa3d-4231-81e0-b70f519134fb,Yale,813,64,0,2015,Yale.2016
0,13,2016,64,16878,3/18/16,Friday,15,X,Middle Tennessee,Blue Raiders,MTU,3d2f0819-8f3b-4ff3-afd6-6227c469a751,Middle Tenn.,419,90,CUSA,2016,33,23,103.9,99.5,0.6224,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,68.5,-3.2,2,X,Michigan State,Spartans,MSU,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan St.,416,81,0,2015,Michigan St..2016
0,1,2016,64,16877,3/17/16,Thursday,9,X,Butler,Bulldogs,BUT,bdb7d7a4-45f8-4bf3-ab85-15488c451494,Butler,87,71,BE,2016,33,22,118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,69.2,2,8,X,Texas Tech,Red Raiders,TTU,f8c705b7-87d3-411a-9c8b-5124daab0469,Texas Tech,700,61,0,2015,Texas Tech.2016
0,5,2016,64,16877,3/17/16,Thursday,11,X,Gonzaga,Bulldogs,GONZ,2f4d21f8-6d5f-48a5-abca-52a30583871a,Gonzaga,260,68,WCC,2016,35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,6,X,Seton Hall,Pirates,HALL,aef5e386-d8e8-460c-8014-3a2f090fd988,Seton Hall,635,52,0,2015,Seton Hall.2016
0,7,2016,64,16877,3/17/16,Thursday,12,Z,Yale,Bulldogs,YALE,ca478771-aa3d-4231-81e0-b70f519134fb,Yale,813,79,Ivy,2016,29,22,109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,66.8,-0.1,5,Z,Baylor,Bears,BAY,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Baylor,51,75,0,2015,Baylor.2016
0,8,2016,32,16879,3/19/16,Saturday,11,X,Gonzaga,Bulldogs,GONZ,2f4d21f8-6d5f-48a5-abca-52a30583871a,Gonzaga,260,82,WCC,2016,35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,3,X,Utah,Utes,UTAH,0d037a5d-827a-44dd-8b70-57603d671d5d,Utah,732,59,0,2015,Utah.2016
1,15,2016,64,16877,3/17/16,Thursday,1,X,Virginia,Cavaliers,UVA,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,746,81,ACC,2016,37,29,119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,16,X,Hampton,Pirates,HAMP,161354af-1f3e-4d58-88f7-e016ec74b7b6,Hampton,270,45,0,2015,Hampton.2016
1,8,2016,32,16879,3/19/16,Saturday,1,X,Virginia,Cavaliers,UVA,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,746,77,ACC,2016,37,29,119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,9,X,Butler,Bulldogs,BUT,bdb7d7a4-45f8-4bf3-ab85-15488c451494,Butler,87,69,0,2015,Butler.2016
1,3,2016,16,16885,3/25/16,Friday,1,X,Virginia,Cavaliers,UVA,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,746,84,ACC,2016,37,29,119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,4,X,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311,71,0,2015,Iowa St..2016
0,0,2016,68,16876,3/16/16,Wednesday,16,Z,Holy Cross,Crusaders,HC,31aedd91-a77e-46c1-8bdc-80e9860c159d,Holy Cross,285,59,Pat,2016,35,15,96.7,106.9,0.2398,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,64.6,-14.5,16,Z,Southern University,Jaguars,SOU,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984,Southern U.,665,55,0,2015,Southern U..2016
1,9,2016,64,16877,3/17/16,Thursday,4,X,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311,94,B12,2016,35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,13,X,Iona,Gaels,IONA,255c2a87-40c0-4989-bbb9-d286aac5d28e,Iona,310,81,0,2015,Iona.2016
1,8,2016,32,16879,3/19/16,Saturday,4,X,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311,78,B12,2016,35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,12,X,Arkansas-Little Rock,Trojans,UALR,0dadedb0-2bd3-45e7-91a3-93af6c4e87f2,Little Rock,32,61,0,2015,Little Rock.2016
1,15,2016,64,16878,3/18/16,Friday,1,Z,Oregon,Ducks,ORE,1da70895-f77f-44ef-b216-d63c02e696eb,Oregon,529,91,P12,2016,37,30,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,16,Z,Holy Cross,Crusaders,HC,31aedd91-a77e-46c1-8bdc-80e9860c159d,Holy Cross,285,52,0,2015,Holy Cross.2016
1,7,2016,32,16880,3/20/16,Sunday,1,Z,Oregon,Ducks,ORE,1da70895-f77f-44ef-b216-d63c02e696eb,Oregon,529,69,P12,2016,37,30,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,8,Z,Saint Joseph's (PA),Hawks,JOES,f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8,Saint Joseph's,606,64,0,2015,Saint Joseph's.2016
1,3,2016,16,16884,3/24/16,Thursday,1,Z,Oregon,Ducks,ORE,1da70895-f77f-44ef-b216-d63c02e696eb,Oregon,529,82,P12,2016,37,30,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,4,Z,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193,68,0,2015,Duke.2016
0,0,2016,68,16875,3/15/16,Tuesday,16,W,Florida Gulf Coast,Eagles,FGCU,5326c079-3dc3-468f-a601-b776dd9c1e62,FGCU,28755,96,ASun,2016,31,17,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68,-8.4,16,W,Fairleigh Dickinson,Knights,FDU,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,Fairleigh Dickinson,222,65,0,2015,Fairleigh Dickinson.2016
1,5,2016,64,16878,3/18/16,Friday,6,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,70,ACC,2016,36,24,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,11,W,Michigan,Wolverines,MICH,bdc2561d-f603-4fab-a262-f1d2af462277,Michigan,418,63,0,2015,Michigan.2016
1,8,2016,32,16880,3/20/16,Sunday,6,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,76,ACC,2016,36,24,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,14,W,Stephen F. Austin,Lumberjacks,SFA,5ef64f01-86ae-4553-9834-c79cc0859eaf,SFA,676,75,0,2015,SFA.2016
1,1,2016,16,16885,3/25/16,Friday,6,W,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,61,ACC,2016,36,24,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,7,W,Wisconsin,Badgers,WIS,c7569eae-5b93-4197-b204-6f3a62146b25,Wisconsin,796,56,0,2015,Wisconsin.2016
0,1,2016,64,16877,3/17/16,Thursday,9,W,Providence,Friars,PROV,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Providence,556,70,BE,2016,35,24,108.7,95.4,0.8193,48,49.3,16.1,20.6,30.4,30.3,37.3,28,48,49.8,32.1,32.3,69.3,3.4,8,W,USC,Trojans,USC,3a000455-de7c-4ca8-880e-abdce7f21da9,Southern California,657,69,0,2015,Southern California.2016
1,3,2016,64,16878,3/18/16,Friday,7,Y,Iowa,Hawkeyes,IOWA,c10544de-e3bd-4776-ba2e-83df8c017fd1,Iowa,312,72,B10,2016,33,22,114.4,95.8,0.8853,51.3,48,14.8,18.8,31.9,31.3,33,25,48.7,48.7,37.4,31.3,69.8,2,10,Y,Temple,Owls,TEM,8598d1b6-106b-4083-a512-2e495729525a,Temple,690,70,1,2015,Temple.2016
1,1,2016,64,16878,3/18/16,Friday,8,Z,Saint Joseph's (PA),Hawks,JOES,f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8,Saint Joseph's,606,78,A10,2016,36,28,114.2,97.6,0.86,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,52.3,49.2,32.7,31.1,70.9,3.4,9,Z,Cincinnati,Bearcats,CIN,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,Cincinnati,140,76,0,2015,Cincinnati.2016
1,7,2016,64,16877,3/17/16,Thursday,5,W,Indiana,Hoosiers,IND,c3f0a8ce-af67-497f-a750-3b859376b20a,Indiana,306,99,B10,2016,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,12,W,Chattanooga,Mocs,CHAT,4c9fb59b-6cec-4b0d-bb0f-628b391d138c,Chattanooga,693,74,0,2015,Chattanooga.2016
0,1,2016,32,16879,3/19/16,Saturday,5,W,Indiana,Hoosiers,IND,c3f0a8ce-af67-497f-a750-3b859376b20a,Indiana,306,73,B10,2016,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,4,W,Kentucky,Wildcats,UK,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Kentucky,334,67,0,2015,Kentucky.2016
1,11,2016,64,16877,3/17/16,Thursday,3,Y,Miami (FL),Hurricanes,MIA,7aec5187-cb1b-45e5-8f7d-406d766cdc73,Miami (FL),415,79,ACC,2016,35,27,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67,6.9,14,Y,Buffalo,Bulls,BUFF,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,Buffalo,86,72,0,2015,Buffalo.2016
1,8,2016,32,16879,3/19/16,Saturday,3,Y,Miami (FL),Hurricanes,MIA,7aec5187-cb1b-45e5-8f7d-406d766cdc73,Miami (FL),415,65,ACC,2016,35,27,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67,6.9,11,Y,Wichita State,Shockers,WICH,f38b58de-3273-4723-a78b-2f918e9aa2d5,Wichita St.,782,57,0,2015,Wichita St..2016
0,1,2016,64,16877,3/17/16,Thursday,9,Y,Connecticut,Huskies,CONN,efba5350-79bc-47aa-a189-db177b95b491,UConn,164,74,Amer,2016,36,25,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,66.9,1.2,8,Y,Colorado,Buffaloes,COLO,9fccbf28-2858-4263-821c-fdefb3c7efa3,Colorado,157,67,0,2015,Colorado.2016
